l,m,alm
0,0,(0.019964861271297697+0j)
1,-1,(0.0614586385804646-1.3706930710661773j)
1,0,(-0.6278593106682354+0j)
1,1,(-0.0614586385804646-1.3706930710661773j)
2,-2,(-2.699898922539134-0.009826564846966656j)
2,-1,(-1.6964349823485823+0.4224835629072074j)
2,0,(0.951925942123381+0j)
2,1,(1.6964349823485823+0.4224835629072074j)
2,2,(-2.699898922539134+0.00982656484696674j)
3,-3,(0.1511270131290728-1.7328138355183622j)
3,-2,(0.9409601403146511+0.17396231435595247j)
3,-1,(0.5239307984090968+0.5307352855005172j)
3,0,(-1.5911546767479752+0j)
3,1,(-0.523930798409097+0.5307352855005172j)
3,2,(0.9409601403146511-0.17396231435595244j)
3,3,(-0.15112701312907315-1.7328138355183622j)
4,-4,(-1.8983924623395463-2.607541312486791j)
4,-3,(3.2516351460364223+2.70795926746073j)
4,-2,(0.5873390838180761+0.12415936239324768j)
4,-1,(0.6986026860361144+0.44316967061974805j)
4,0,(-2.373859143782152+0j)
4,1,(-0.6986026860361141+0.44316967061974794j)
4,2,(0.5873390838180761-0.12415936239324768j)
4,3,(-3.2516351460364223+2.70795926746073j)
4,4,(-1.8983924623395463+2.6075413124867914j)
5,-5,(-0.6746381184194034+1.0694319536530255j)
5,-4,(-0.21107284789172376+0.9721495308243003j)
5,-3,(1.6260080830683439-0.9988784191528335j)
5,-2,(-0.43430208371957657-1.1688553588196358j)
5,-1,(-1.86465885007181-0.6773894797865229j)
5,0,(0.3493913265253174+0j)
5,1,(1.86465885007181-0.6773894797865229j)
5,2,(-0.4343020837195764+1.168855358819636j)
5,3,(-1.6260080830683439-0.9988784191528333j)
5,4,(-0.21107284789172379-0.9721495308243007j)
5,5,(0.674638118419403+1.069431953653025j)
6,-6,(1.273635775429002+0.9444303917789618j)
6,-5,(-0.7734095003586983-0.4586030079780439j)
6,-4,(1.584119600711711-0.40773553100370824j)
6,-3,(-0.7126780138733189-2.117462475849475j)
6,-2,(0.028682557821898734+0.03191190602598257j)
6,-1,(0.393560985298045-0.06610110982542632j)
6,0,(0.8379861575709423+0j)
6,1,(-0.393560985298045-0.0661011098254264j)
6,2,(0.028682557821898734-0.03191190602598259j)
6,3,(0.712678013873319-2.1174624758494756j)
6,4,(1.584119600711711+0.40773553100370824j)
6,5,(0.7734095003586983-0.4586030079780438j)
6,6,(1.2736357754290017-0.9444303917789615j)
7,-7,(-2.1186720474203122-1.5527572322872245j)
7,-6,(-0.009854245772243746-2.1129151622400713j)
7,-5,(0.8277521467130822-0.44281758401912896j)
7,-4,(-0.034898834591896404-0.7034305059817871j)
7,-3,(-1.8042587877665832+0.2794011349752609j)
7,-2,(-0.6391334047120929+0.9299215446775734j)
7,-1,(1.081448053368843+0.32911739752683716j)
7,0,(-2.0790111231934945+0j)
7,1,(-1.0814480533688433+0.32911739752683716j)
7,2,(-0.6391334047120929-0.9299215446775734j)
7,3,(1.8042587877665837+0.27940113497526076j)
7,4,(-0.034898834591896404+0.7034305059817874j)
7,5,(-0.8277521467130818-0.4428175840191288j)
7,6,(-0.009854245772243746+2.1129151622400713j)
7,7,(2.1186720474203122-1.5527572322872245j)
8,-8,(1.0760549553958234-0.42437915829839556j)
8,-7,(1.3742534368183188+0.6639650966819785j)
8,-6,(1.0071926930372423+1.1248662597983508j)
8,-5,(-1.1403101045782058-0.9573983812253566j)
8,-4,(-0.6468137052096556+0.15545352503105803j)
8,-3,(0.04354331984611905-0.22121707953121492j)
8,-2,(0.04920474469103493-0.0513142442779738j)
8,-1,(-0.6672443573441477-0.5791888466525562j)
8,0,(-0.3676270904393647+0j)
8,1,(0.6672443573441478-0.5791888466525562j)
8,2,(0.04920474469103501+0.051314244277973715j)
8,3,(-0.04354331984611905-0.22121707953121492j)
8,4,(-0.6468137052096556-0.1554535250310579j)
8,5,(1.1403101045782058-0.9573983812253567j)
8,6,(1.0071926930372426-1.1248662597983508j)
8,7,(-1.3742534368183186+0.6639650966819781j)
8,8,(1.0760549553958234+0.4243791582983957j)
9,-9,(2.1784302860811753+0.11690436944051262j)
9,-8,(-0.9474025331445532+1.5650611779060242j)
9,-7,(-2.2779092707686366-0.10970894955891121j)
9,-6,(-1.143003019778286+0.7143664424989329j)
9,-5,(-0.7598850758348533-0.7927172178008189j)
9,-4,(0.6018380422247418-0.1666061523893024j)
9,-3,(0.3475038122746113+0.4901258809163622j)
9,-2,(0.04680050328359887+0.17210980729508957j)
9,-1,(-0.5277384950197855+0.7437001379131364j)
9,0,(1.25913146804194+0j)
9,1,(0.5277384950197855+0.7437001379131366j)
9,2,(0.046800503283598784-0.17210980729508962j)
9,3,(-0.3475038122746114+0.49012588091636233j)
9,4,(0.6018380422247417+0.1666061523893024j)
9,5,(0.7598850758348533-0.7927172178008189j)
9,6,(-1.1430030197782863-0.7143664424989329j)
9,7,(2.2779092707686366-0.10970894955891125j)
9,8,(-0.9474025331445531-1.5650611779060242j)
9,9,(-2.178430286081175+0.11690436944051262j)
10,-10,(-0.26694158921633737-0.6382747255640138j)
10,-9,(-1.644160527910687-1.7751015860832755j)
10,-8,(-0.12612134461706948-1.3485294517469126j)
10,-7,(0.1335484664677148-1.2712154741388308j)
10,-6,(-1.0588577712958356-1.6363457411256568j)
10,-5,(0.5481502339043699+1.7658596934719777j)
10,-4,(-0.6950265435858113-0.5929304768134693j)
10,-3,(-1.388233325620345+0.9153228707640207j)
10,-2,(-0.621976577108352-0.23617239354755132j)
10,-1,(0.6219528089882873+0.46588338031690635j)
10,0,(-0.953269569261366+0j)
10,1,(-0.6219528089882873+0.46588338031690635j)
10,2,(-0.621976577108352+0.23617239354755132j)
10,3,(1.3882333256203452+0.9153228707640206j)
10,4,(-0.6950265435858114+0.5929304768134693j)
10,5,(-0.5481502339043699+1.7658596934719777j)
10,6,(-1.0588577712958358+1.6363457411256568j)
