l,m,alm
0,0,(0.2845653036400326+0j)
1,-1,(0.8197946682096844+1.3607533193540746j)
1,0,(0.6921727412986043+0j)
1,1,(-0.8197946682096844+1.3607533193540746j)
2,-2,(1.2627620160066788-1.6906329650617413j)
2,-1,(0.6863783898608747-0.9335694295238289j)
2,0,(-0.897552448784627+0j)
2,1,(-0.686378389860875-0.9335694295238289j)
2,2,(1.262762016006679+1.6906329650617409j)
3,-3,(-1.2014711053134435+3.226843372315478j)
3,-2,(0.8028703436082593+1.6025983433735909j)
3,-1,(0.4460743534871303+0.44703134676116474j)
3,0,(-2.7371704605192435+0j)
3,1,(-0.44607435348713037+0.4470313467611648j)
3,2,(0.8028703436082588-1.6025983433735909j)
3,3,(1.2014711053134428+3.226843372315478j)
4,-4,(0.9744659298483548-1.959199425112816j)
4,-3,(3.264838278083518+3.516655782644749j)
4,-2,(0.00730734500199527-0.1942590921159784j)
4,-1,(-0.9831602156927107+0.6199319162286006j)
4,0,(-0.5989838602074825+0j)
4,1,(0.9831602156927105+0.6199319162286007j)
4,2,(0.00730734500199527+0.19425909211597836j)
4,3,(-3.264838278083518+3.516655782644749j)
4,4,(0.9744659298483548+1.959199425112816j)
5,-5,(-0.9033565408455577+3.28761444421678j)
5,-4,(1.318394587388304-2.016093620118009j)
5,-3,(-0.8397811106142322+0.9633426122348285j)
5,-2,(0.2395834278518472-1.0627154238358465j)
5,-1,(-0.13070335518296242+0.8374525167248275j)
5,0,(3.2406219851927647+0j)
5,1,(0.13070335518296233+0.8374525167248275j)
5,2,(0.23958342785184736+1.0627154238358467j)
5,3,(0.8397811106142322+0.9633426122348284j)
5,4,(1.3183945873883045+2.01609362011801j)
5,5,(0.9033565408455577+3.287614444216779j)
6,-6,(0.18491510331365904+2.71377594226235j)
6,-5,(2.572927757346612+0.34662337261691334j)
6,-4,(-0.780835431225648-2.199108691282835j)
6,-3,(-2.1038006239294877+0.13596972163183108j)
6,-2,(-0.8101911606111734+0.6076946711389971j)
6,-1,(-0.4710188121526143+0.14511635083734786j)
6,0,(2.693510394731516+0j)
6,1,(0.47101881215261415+0.14511635083734797j)
6,2,(-0.8101911606111736-0.6076946711389971j)
6,3,(2.1038006239294877+0.1359697216318315j)
6,4,(-0.7808354312256479+2.199108691282835j)
