l,m,alm
0,0,(-0.1722259268213994+0j)
1,-1,(0.008558085623319016-0.19983451540622693j)
1,0,(-0.6019782585148113+0j)
1,1,(-0.008558085623319016-0.19983451540622693j)
2,-2,(-0.39501228754874324-0.1838851575050039j)
2,-1,(0.08015398271033562+0.029601776674704715j)
2,0,(0.02159224587336329+0j)
2,1,(-0.08015398271033564+0.029601776674704695j)
2,2,(-0.39501228754874324+0.1838851575050039j)
3,-3,(-0.24957569496826623+0.4051103279205945j)
3,-2,(-0.1621156680010196-0.1177174259099728j)
3,-1,(-0.018781508452079865-0.07788343543406247j)
3,0,(-0.8365340689523925+0j)
3,1,(0.018781508452079855-0.0778834354340625j)
3,2,(-0.16211566800101954+0.11771742590997279j)
3,3,(0.24957569496826626+0.4051103279205945j)
4,-4,(0.08171285549897885+0.4100032870918241j)
4,-3,(0.1407032798619453-0.05895103967281724j)
4,-2,(-0.0653418145202203+0.03211798330059606j)
4,-1,(-0.044615623043589125-0.13593385731194724j)
4,0,(0.16656807145142732+0j)
4,1,(0.04461562304358914-0.13593385731194724j)
4,2,(-0.06534181452022031-0.03211798330059606j)
4,3,(-0.1407032798619453-0.05895103967281724j)
4,4,(0.08171285549897883-0.4100032870918241j)
5,-5,(0.00952357336351349+0.15666284179751416j)
5,-4,(-0.12455756061329576-0.13940289749960771j)
5,-3,(0.10875293391678162+0.18326212882429282j)
5,-2,(-0.2722388130374111+0.03261499895045529j)
5,-1,(0.003512073789593465+0.13663793936473723j)
5,0,(-0.8127321848333273+0j)
5,1,(-0.003512073789593465+0.13663793936473723j)
5,2,(-0.27223881303741115-0.03261499895045531j)
5,3,(-0.1087529339167816+0.18326212882429282j)
5,4,(-0.12455756061329576+0.13940289749960771j)
5,5,(-0.009523573363513482+0.15666284179751416j)
6,-6,(-0.09444211634858289-0.04256102823602936j)
6,-5,(-0.02050058102763091+0.06924566395412267j)
6,-4,(0.26861497360034287-0.11015886364725698j)
6,-3,(-0.10996529075337225-0.036457174117188476j)
6,-2,(0.04950857487357154-0.04755439147787167j)
6,-1,(-0.007971415437264028+0.025832362218631125j)
6,0,(0.021427452110299453+0j)
6,1,(0.007971415437264026+0.025832362218631152j)
6,2,(0.04950857487357156+0.04755439147787167j)
6,3,(0.10996529075337226-0.03645717411718847j)
6,4,(0.2686149736003428+0.11015886364725698j)
6,5,(0.020500581027630898+0.06924566395412267j)
6,6,(-0.09444211634858286+0.04256102823602936j)
7,-7,(0.058470384704173706+0.1306759588438663j)
7,-6,(-0.006692333057543491+0.07372913319515279j)
7,-5,(0.13208536769442847+0.1466909326109499j)
7,-4,(0.07646084807900218+0.16613854902414252j)
7,-3,(0.015798026927071687-0.08772076881003707j)
7,-2,(-0.08499644914478403-0.08525933988763378j)
7,-1,(-0.007784021169468706+0.05075863618501434j)
7,0,(-0.8506902796070241+0j)
7,1,(0.007784021169468702+0.050758636185014354j)
7,2,(-0.084996449144784+0.08525933988763378j)
7,3,(-0.015798026927071693-0.08772076881003707j)
7,4,(0.07646084807900218-0.16613854902414255j)
7,5,(-0.13208536769442844+0.14669093261094987j)
7,6,(-0.006692333057543496-0.07372913319515279j)
7,7,(-0.058470384704173727+0.1306759588438663j)
8,-8,(-0.03094835699855319+0.24225933064772376j)
8,-7,(-0.23484169422804418+0.013824164839194467j)
8,-6,(0.08677563291693775-0.11580249341246893j)
8,-5,(-0.01790011214208179+0.05322836079301712j)
8,-4,(-0.00383378253549083+0.09332199107656027j)
8,-3,(0.08932365023345785+0.0727496759394571j)
8,-2,(-0.06828387769956086+0.005916855193837017j)
8,-1,(0.02638104516004013+0.084217803531789j)
8,0,(0.008315564120754973+0j)
8,1,(-0.026381045160040143+0.08421780353178905j)
8,2,(-0.06828387769956086-0.005916855193837007j)
8,3,(-0.08932365023345785+0.07274967593945711j)
8,4,(-0.003833782535490856-0.09332199107656028j)
8,5,(0.017900112142081776+0.05322836079301713j)
8,6,(0.08677563291693774+0.1158024934124689j)
8,7,(0.23484169422804416+0.013824164839194466j)
8,8,(-0.03094835699855319-0.24225933064772376j)
9,-9,(0.16283889349903172+0.04455875333704838j)
9,-8,(0.1658143709347699+0.07023528364281932j)
9,-7,(0.1694537175619646-0.1567391403743549j)
9,-6,(0.050580265576695725-0.12510989374099246j)
9,-5,(-0.08380750151394302-0.005626975631048915j)
9,-4,(-0.01706504417113432-0.023165757204966258j)
9,-3,(0.061493157093156885+0.0673993738739469j)
9,-2,(0.08128926552370073+0.05085876647127872j)
9,-1,(0.10238999054355803+0.03678232196258017j)
9,0,(-0.6609722903485739+0j)
9,1,(-0.10238999054355803+0.03678232196258017j)
9,2,(0.08128926552370073-0.05085876647127872j)
9,3,(-0.061493157093156885+0.0673993738739469j)
9,4,(-0.01706504417113431+0.023165757204966258j)
9,5,(0.083807501513943-0.0056269756310489095j)
9,6,(0.05058026557669574+0.12510989374099252j)
9,7,(-0.1694537175619646-0.1567391403743549j)
9,8,(0.1658143709347699-0.07023528364281934j)
9,9,(-0.16283889349903172+0.04455875333704838j)
10,-10,(0.09653012666414425-0.042086508603893166j)
10,-9,(-0.021536805118366663+0.15158503105391685j)
10,-8,(-0.008373068705028016-0.23891367402228608j)
10,-7,(0.009288226250925164+0.10563689805651535j)
10,-6,(-0.043254623046001056-0.054547255769941565j)
10,-5,(-0.04158238388427641-0.02885825565710657j)
10,-4,(-0.04279257186940775+0.04877430241571085j)
10,-3,(-0.06277629980615444-0.052652394259358894j)
10,-2,(0.018483410374514845-0.08934555229448768j)
10,-1,(0.10622106866424694+0.019370462116791862j)
10,0,(-0.009929429975574297+0j)
10,1,(-0.1062210686642469+0.01937046211679186j)
10,2,(0.01848341037451485+0.08934555229448767j)
10,3,(0.06277629980615444-0.052652394259358894j)
10,4,(-0.04279257186940775-0.04877430241571085j)
10,5,(0.04158238388427641-0.02885825565710656j)
10,6,(-0.04325462304600106+0.054547255769941565j)
10,7,(-0.009288226250925149+0.10563689805651531j)
10,8,(-0.008373068705028026+0.23891367402228608j)
10,9,(0.021536805118366652+0.15158503105391685j)
10,10,(0.09653012666414422+0.04208650860389316j)
11,-11,(0.03360123830641424+0.0352316717612043j)
11,-10,(0.11383510857603757-0.06718663855278943j)
11,-9,(-0.01956045288797824-0.07220338585900914j)
11,-8,(0.07885212067549666-0.0016717954449524954j)
11,-7,(-0.008791631484843186+0.01905633629779582j)
11,-6,(-0.02677425156580389+0.021834578115793635j)
11,-5,(0.03633954947127582+0.005700755812753505j)
11,-4,(-0.03400060644914939-0.1533676943953406j)
11,-3,(-0.01697520815327742+0.005248854594330026j)
11,-2,(-0.05289302977375087+0.0738903512649995j)
11,-1,(0.05650049893030358+0.04684628568080606j)
11,0,(-0.15657950504492882+0j)
11,1,(-0.0565004989303036+0.04684628568080606j)
11,2,(-0.05289302977375084-0.07389035126499949j)
11,3,(0.016975208153277417+0.005248854594330026j)
11,4,(-0.03400060644914939+0.15336769439534062j)
11,5,(-0.03633954947127581+0.005700755812753504j)
11,6,(-0.026774251565803858-0.02183457811579364j)
11,7,(0.00879163148484317+0.019056336297795802j)
11,8,(0.07885212067549666+0.0016717954449524954j)
11,9,(0.01956045288797824-0.07220338585900914j)
11,10,(0.11383510857603757+0.06718663855278945j)
11,11,(-0.03360123830641424+0.035231671761204286j)
12,-12,(0.08419165293926716-0.12797762370598928j)
12,-11,(0.10511913792310032+0.06414500144761001j)
12,-10,(0.08974577927231443-0.18233891507949473j)
12,-9,(0.14441290521572586-0.030933388860937834j)
12,-8,(-0.09637938517602189-0.07449860433894134j)
12,-7,(-0.030523294504571967-0.06212159733910234j)
12,-6,(-0.08130508426825125+0.036800080127485535j)
12,-5,(-0.155333250032426-0.007125051001006261j)
12,-4,(0.025991292202894815+0.10484529682317348j)
12,-3,(0.08945909874026207+0.07559465712096325j)
12,-2,(0.0689296039905239-0.0860347716428161j)
12,-1,(0.1460512819668753+0.007596207777716111j)
12,0,(0.08112729717036833+0j)
12,1,(-0.14605128196687528+0.00759620777771608j)
12,2,(0.0689296039905239+0.08603477164281609j)
12,3,(-0.08945909874026207+0.07559465712096324j)
12,4,(0.025991292202894815-0.10484529682317349j)
12,5,(0.15533325003242604-0.007125051001006261j)
12,6,(-0.08130508426825124-0.03680008012748553j)
12,7,(0.030523294504571953-0.06212159733910234j)
12,8,(-0.09637938517602189+0.07449860433894134j)
12,9,(-0.14441290521572586-0.030933388860937834j)
12,10,(0.08974577927231445+0.18233891507949473j)
12,11,(-0.10511913792310032+0.06414500144761j)
12,12,(0.0841916529392672+0.12797762370598928j)
13,-13,(-0.0160322710392392-0.14694950260255166j)
13,-12,(-0.006604429056961983-0.037385035857875525j)
13,-11,(-0.07175378478281191-0.01958545845448315j)
13,-10,(0.0918057418815306+0.046487831711866476j)
13,-9,(-0.025181047211126018+0.03679698318332236j)
13,-8,(-0.004509239109664235+0.10762767255359539j)
13,-7,(-0.01193207510049739+0.11512623164856067j)
13,-6,(0.07927342013398869-0.07340827959334603j)
13,-5,(-0.003467512514589962-0.025044344526138008j)
13,-4,(-0.0392403889569145+0.10023946461719972j)
13,-3,(0.07226807813842256-0.05775998148989622j)
13,-2,(-0.0037649511059294175-0.1498918503135596j)
13,-1,(0.04768279340918432+0.12239874713439672j)
13,0,(-0.08017420976841219+0j)
13,1,(-0.047682793409184306+0.12239874713439669j)
13,2,(-0.0037649511059294175+0.14989185031355956j)
13,3,(-0.07226807813842256-0.05775998148989622j)
13,4,(-0.0392403889569145-0.10023946461719974j)
13,5,(0.0034675125145899517-0.025044344526138015j)
13,6,(0.07927342013398869+0.07340827959334606j)
13,7,(0.011932075100497385+0.11512623164856067j)
13,8,(-0.004509239109664235-0.10762767255359543j)
13,9,(0.025181047211126007+0.03679698318332234j)
13,10,(0.0918057418815306-0.046487831711866476j)
13,11,(0.07175378478281191-0.019585458454483146j)
13,12,(-0.006604429056961983+0.037385035857875525j)
13,13,(0.01603227103923921-0.1469495026025516j)
14,-14,(-0.018137790255996395-0.007579330188227838j)
14,-13,(0.18145377671582752-0.012319596119386742j)
14,-12,(0.09835828757857007+0.024460264757003206j)
14,-11,(-0.03487409068227618-0.05904136723636944j)
14,-10,(-0.07396501781079613+0.006154180671681161j)
14,-9,(-0.01144281972001884-0.04936229281973568j)
14,-8,(-0.05535261703584739+0.1922634855762176j)
14,-7,(-0.11372934444752739-0.07426982569443727j)
14,-6,(-0.02463916038967534+0.05160422981351354j)
14,-5,(0.001800325508257707-0.05990982018920598j)
14,-4,(-0.04546229614886074-0.10123058131405652j)
14,-3,(-0.048615853105361866-0.0025449970830086267j)
14,-2,(0.011656744851946335+0.02499030389031919j)
14,-1,(0.06802531146315285+0.08222109975883193j)
14,0,(-0.04717993638776756+0j)
14,1,(-0.06802531146315285+0.08222109975883193j)
14,2,(0.011656744851946314-0.02499030389031919j)
14,3,(0.04861585310536187-0.0025449970830086163j)
14,4,(-0.045462296148860756+0.10123058131405656j)
14,5,(-0.0018003255082577121-0.05990982018920596j)
14,6,(-0.024639160389675348-0.051604229813513564j)
14,7,(0.11372934444752739-0.07426982569443728j)
14,8,(-0.05535261703584739-0.1922634855762176j)
14,9,(0.011442819720018853-0.04936229281973567j)
14,10,(-0.07396501781079615-0.0061541806716811686j)
14,11,(0.03487409068227619-0.05904136723636945j)
14,12,(0.09835828757857004-0.024460264757003195j)
14,13,(-0.18145377671582752-0.012319596119386727j)
14,14,(-0.018137790255996374+0.007579330188227838j)
15,-15,(-0.09084602340448124+0.1311693970917591j)
15,-14,(0.17023328336300544+0.07308945286580551j)
15,-13,(0.007213988550904642+0.09626459758676725j)
15,-12,(0.06668289918513276-0.09091169282122483j)
15,-11,(0.0749676011005671+0.1013607919216718j)
15,-10,(0.07850349531222363+0.0029622863591127666j)
15,-9,(0.023061394558600675-0.018413095770404654j)
15,-8,(0.047791895824359686-0.1023542656219554j)
15,-7,(-0.04647609852334168+0.049803303096801095j)
15,-6,(0.0259268769003911+0.031476160295023356j)
15,-5,(-0.008762895933543778+0.016981593284991027j)
15,-4,(0.05729455261560637-0.06385275781472495j)
15,-3,(0.03837123187561364-0.06408090007050783j)
15,-2,(0.06111795838932659+0.062162508073165736j)
15,-1,(0.17042748191871804-0.10804741559127674j)
15,0,(-0.18958688714171185+0j)
15,1,(-0.170427481918718-0.1080474155912767j)
15,2,(0.06111795838932661-0.06216250807316575j)
15,3,(-0.03837123187561366-0.06408090007050779j)
15,4,(0.05729455261560637+0.06385275781472495j)
15,5,(0.008762895933543777+0.016981593284991024j)
15,6,(0.025926876900391093-0.031476160295023356j)
15,7,(0.04647609852334168+0.049803303096801095j)
15,8,(0.0477918958243597+0.10235426562195542j)
15,9,(-0.023061394558600675-0.018413095770404647j)
15,10,(0.07850349531222366-0.0029622863591127566j)
15,11,(-0.0749676011005671+0.10136079192167183j)
15,12,(0.06668289918513276+0.09091169282122487j)
15,13,(-0.007213988550904632+0.09626459758676725j)
15,14,(0.17023328336300544-0.07308945286580551j)
15,15,(0.09084602340448118+0.13116939709175907j)
16,-16,(-0.03206366131394242+0.052728808232612466j)
16,-15,(0.04056167626887814-0.055642904934518685j)
16,-14,(-0.010593296898742383+0.1491075034077173j)
16,-13,(0.04175724967831848+0.11880343224172658j)
16,-12,(0.014050046489757089+0.008209398953645005j)
16,-11,(0.08034131065296177+0.2626233496493027j)
16,-10,(0.18531638396834635-0.013880635863420683j)
16,-9,(0.0167989817065233+0.1107712839525897j)
16,-8,(0.09983241056198179-0.02327840746549078j)
16,-7,(-0.08867498090580586+0.09944205227674005j)
16,-6,(-0.14959812658817695+0.06700884772143341j)
16,-5,(-0.03920444835490931+0.03576158023573382j)
16,-4,(0.061522085608455505-0.06194445338064017j)
16,-3,(0.06623583987451234-0.03211659828328074j)
16,-2,(-0.01168158087414426-0.009735814312601286j)
16,-1,(-0.059160397515896766+0.007537214369239533j)
16,0,(0.11155882752655837+0j)
16,1,(0.05916039751589676+0.007537214369239538j)
16,2,(-0.011681580874144285+0.009735814312601296j)
16,3,(-0.06623583987451234-0.032116598283280735j)
16,4,(0.061522085608455485+0.06194445338064015j)
16,5,(0.03920444835490932+0.03576158023573382j)
16,6,(-0.14959812658817692-0.06700884772143341j)
16,7,(0.08867498090580583+0.09944205227674005j)
16,8,(0.09983241056198179+0.023278407465490765j)
16,9,(-0.01679898170652332+0.11077128395258973j)
16,10,(0.18531638396834635+0.01388063586342068j)
16,11,(-0.08034131065296181+0.26262334964930273j)
16,12,(0.014050046489757094-0.008209398953645005j)
16,13,(-0.04175724967831851+0.11880343224172663j)
16,14,(-0.010593296898742378-0.14910750340771728j)
16,15,(-0.04056167626887814-0.055642904934518664j)
16,16,(-0.03206366131394241-0.05272880823261246j)
17,-17,(-0.015665927194828604+0.06995240302797281j)
17,-16,(0.10234329761286319+0.04234452940016915j)
17,-15,(-0.02329971809356337+0.02010373483843751j)
17,-14,(-0.02822719007695261+0.07341270235975839j)
17,-13,(0.018269665279831968+0.03343562431474411j)
17,-12,(-0.07981482481868997-0.042153447106689876j)
17,-11,(0.11621840936970439+0.0020873461833829034j)
17,-10,(0.12168541758577169+0.032449891012697095j)
17,-9,(0.07091057257728646+0.04614203038060482j)
17,-8,(0.045017457816648364+0.07102982101024959j)
17,-7,(-0.005492068506022509-0.04132209433762836j)
17,-6,(-0.04319608170328606+0.1054826051546119j)
17,-5,(0.010697933917439204-0.00118630723151367j)
17,-4,(0.0473630146182084-0.08210887191045337j)
17,-3,(-0.11492938419291425+0.02377923974537967j)
17,-2,(0.0719074845443709+0.035269576581914125j)
17,-1,(-0.056013111621503506-0.012005986201681647j)
17,0,(-0.06957574601701033+0j)
17,1,(0.056013111621503506-0.012005986201681642j)
17,2,(0.07190748454437089-0.035269576581914125j)
17,3,(0.11492938419291425+0.02377923974537966j)
17,4,(0.0473630146182084+0.08210887191045335j)
17,5,(-0.010697933917439202-0.0011863072315136856j)
17,6,(-0.043196081703286066-0.1054826051546119j)
17,7,(0.005492068506022506-0.04132209433762836j)
17,8,(0.045017457816648364-0.07102982101024956j)
17,9,(-0.07091057257728649+0.046142030380604826j)
17,10,(0.12168541758577173-0.032449891012697095j)
17,11,(-0.11621840936970436+0.0020873461833828826j)
17,12,(-0.07981482481869002+0.04215344710668991j)
17,13,(-0.018269665279831968+0.03343562431474412j)
17,14,(-0.028227190076952624-0.0734127023597584j)
17,15,(0.02329971809356336+0.020103734838437512j)
17,16,(0.10234329761286315-0.04234452940016915j)
