l,m,alm
0,0,(-0.6110173750583238+0j)
1,-1,(-0.17845105229903502+0.015421687475711033j)
1,0,(-0.5185097955093515+0j)
1,1,(0.17845105229903502+0.015421687475711033j)
2,-2,(-0.17463593166354782+0.44119968136506493j)
2,-1,(0.23295817257823595-0.02927314195605695j)
2,0,(0.4653128732437576+0j)
2,1,(-0.23295817257823595-0.029273141956056962j)
2,2,(-0.17463593166354788-0.44119968136506493j)
3,-3,(0.6631510200510486+0.6881680880583094j)
3,-2,(0.08743603839108859-0.49370221336729464j)
3,-1,(0.16430882126448337-0.22099937484473756j)
3,0,(-1.183459985266162+0j)
3,1,(-0.1643088212644834-0.2209993748447376j)
3,2,(0.08743603839108857+0.49370221336729464j)
3,3,(-0.6631510200510486+0.6881680880583094j)
4,-4,(0.9846850034333237-0.4735198365527483j)
4,-3,(-0.20932507432554134-0.29318878600598014j)
4,-2,(-0.040122855079971195-0.39643222965971237j)
4,-1,(-0.22382633905043028+0.2649151789240811j)
4,0,(-0.1141782374050359+0j)
4,1,(0.22382633905043023+0.26491517892408106j)
4,2,(-0.04012285507997117+0.39643222965971225j)
4,3,(0.20932507432554134-0.29318878600598014j)
4,4,(0.9846850034333237+0.4735198365527483j)
5,-5,(0.4073171177751342-1.296594341827252j)
5,-4,(-0.4698296721564967+0.08127882337439299j)
5,-3,(-0.5053155822457481-0.06390901097595916j)
5,-2,(0.018787519036477733+0.5054758006220851j)
5,-1,(-0.211660965385371+0.2712242220639984j)
5,0,(-0.48067642198241156+0j)
5,1,(0.2116609653853709+0.2712242220639983j)
5,2,(0.018787519036477743-0.5054758006220853j)
5,3,(0.5053155822457481-0.06390901097595919j)
5,4,(-0.46982967215649674-0.081278823374393j)
5,5,(-0.4073171177751342-1.2965943418272519j)
6,-6,(-0.3414542518408295-0.9470042931713186j)
6,-5,(-0.3057838729971899+0.6764732931379417j)
6,-4,(-0.4444643540466179+0.24848358136507595j)
6,-3,(0.46680775351554243+0.2759671036038864j)
6,-2,(0.01272799684791827+0.2423708790657014j)
6,-1,(0.3225604286413324-0.16565163017218124j)
6,0,(0.5672435129122653+0j)
6,1,(-0.3225604286413324-0.16565163017218124j)
6,2,(0.01272799684791824-0.24237087906570146j)
6,3,(-0.4668077535155425+0.2759671036038865j)
6,4,(-0.4444643540466179-0.2484835813650759j)
6,5,(0.30578387299718984+0.6764732931379416j)
6,6,(-0.3414542518408294+0.9470042931713186j)
7,-7,(-1.153934206849041-0.32336290257079986j)
7,-6,(0.2936555233766121+0.6465425882017479j)
7,-5,(-0.00933463284502414+0.05441130944372422j)
7,-4,(0.39677545994218516-0.12660029916123494j)
7,-3,(0.3000150292391055-0.08228562696926188j)
7,-2,(0.023923369624223808-0.3641165859718927j)
7,-1,(0.04715416048312558-0.11783479238545906j)
7,0,(-1.1967600504518292+0j)
7,1,(-0.04715416048312558-0.1178347923854591j)
7,2,(0.02392336962422387+0.3641165859718927j)
7,3,(-0.3000150292391055-0.08228562696926191j)
7,4,(0.39677545994218516+0.1266002991612349j)
7,5,(0.009334632845024133+0.05441130944372427j)
7,6,(0.293655523376612-0.6465425882017479j)
7,7,(1.153934206849041-0.3233629025707999j)
8,-8,(-1.1315573516930344+0.9065442111459132j)
8,-7,(0.7400960853593207+0.04902245112904189j)
8,-6,(0.030664283554745608+0.27007916966803575j)
8,-5,(0.26583690255318715-0.6027946442413119j)
8,-4,(0.0629300047687802-0.09343316241485891j)
8,-3,(-0.27716929204890983-0.15911523772900218j)
8,-2,(-0.1373104930762498-0.0679372075494203j)
8,-1,(-0.34598994703046965+0.35754492368022933j)
8,0,(-0.4098745332436356+0j)
8,1,(0.34598994703046965+0.35754492368022933j)
8,2,(-0.1373104930762498+0.0679372075494203j)
8,3,(0.27716929204890983-0.15911523772900224j)
8,4,(0.06293000476878015+0.09343316241485887j)
8,5,(-0.2658369025531872-0.6027946442413119j)
8,6,(0.030664283554745646-0.27007916966803575j)
8,7,(-0.7400960853593207+0.04902245112904193j)
8,8,(-1.1315573516930344-0.9065442111459132j)
9,-9,(0.02049891910375601+2.0515233993877224j)
9,-8,(1.0538382287747388-0.8350532513136101j)
9,-7,(0.13704409774112256+0.32257433688165477j)
9,-6,(0.04354779509495763-0.5606166673855213j)
9,-5,(-0.12111615575610973+0.12004023225645502j)
9,-4,(-0.191494559674725+0.2065417868680738j)
9,-3,(-0.08353286324038182+0.2559506790187709j)
9,-2,(0.40673085199015097+0.4898978700711333j)
9,-1,(0.03663216318383252+0.11261519466406039j)
9,0,(0.2505933098000531+0j)
9,1,(-0.036632163183832514+0.11261519466406043j)
9,2,(0.40673085199015097-0.4898978700711334j)
9,3,(0.0835328632403818+0.25595067901877094j)
9,4,(-0.19149455967472503-0.2065417868680739j)
9,5,(0.12111615575610972+0.12004023225645494j)
9,6,(0.04354779509495761+0.5606166673855213j)
9,7,(-0.13704409774112253+0.32257433688165466j)
9,8,(1.0538382287747388+0.8350532513136101j)
9,9,(-0.02049891910375598+2.0515233993877224j)
10,-10,(1.9747991203311854+0.7484087060795878j)
10,-9,(-0.07753101874296532-1.440054181827015j)
10,-8,(0.570384943612738-0.05390843326018813j)
10,-7,(-0.6224504206353912-0.5028821530734838j)
10,-6,(0.29794093517305925+0.25968764716266085j)
10,-5,(-0.1534763451211225+0.19362591745410743j)
10,-4,(0.26046981468542624+0.05564374954992153j)
10,-3,(0.3942723814932128+0.021598616673620338j)
10,-2,(0.1892133581215486-0.09763455595921437j)
10,-1,(0.4004063825653679-0.44772678068535066j)
10,0,(-0.04617631238016215+0j)
10,1,(-0.4004063825653679-0.44772678068535077j)
10,2,(0.1892133581215486+0.09763455595921436j)
10,3,(-0.3942723814932128+0.021598616673620345j)
10,4,(0.26046981468542624-0.05564374954992153j)
10,5,(0.1534763451211225+0.19362591745410743j)
10,6,(0.29794093517305925-0.2596876471626609j)
10,7,(0.622450420635391-0.5028821530734838j)
10,8,(0.570384943612738+0.053908433260188106j)
10,9,(0.07753101874296532-1.440054181827015j)
10,10,(1.9747991203311854-0.7484087060795878j)
11,-11,(1.5609722703426847-1.78131965907067j)
11,-10,(-1.7858778042390806-0.36456947008937396j)
11,-9,(0.35144761334686886-0.4586505236473174j)
11,-8,(-1.027004588171662+0.48669350251484983j)
11,-7,(0.5422542901298532-0.15513828345882846j)
11,-6,(-0.13920850234008808+0.4805818115968546j)
11,-5,(0.2946247959141299-0.1453031598762983j)
11,-4,(0.03084882939250132-0.16757033708998217j)
11,-3,(-0.10932919824792828-0.27051623623669213j)
11,-2,(-0.32987141788081376-0.5155138032343368j)
11,-1,(-0.03597033575180277+0.09455870573242359j)
11,0,(-1.0546531221901705+0j)
11,1,(0.035970335751802716+0.09455870573242355j)
11,2,(-0.32987141788081364+0.5155138032343367j)
11,3,(0.10932919824792833-0.2705162362366923j)
11,4,(0.030848829392501352+0.16757033708998217j)
11,5,(-0.29462479591412993-0.14530315987629838j)
11,6,(-0.139208502340088-0.4805818115968546j)
11,7,(-0.5422542901298528-0.15513828345882844j)
11,8,(-1.0270045881716618-0.48669350251484983j)
11,9,(-0.3514476133468688-0.45865052364731745j)
11,10,(-1.7858778042390806+0.3645694700893739j)
11,11,(-1.5609722703426847-1.78131965907067j)
12,-12,(-1.2530907501087984-1.8783914217229754j)
12,-11,(-1.3366923367593606+1.67510314820806j)
12,-10,(-0.4446404634368927-0.4666704338367261j)
12,-9,(0.09207077110670961+1.4816870592225215j)
12,-8,(-0.000259619774550797-0.4148963231449057j)
12,-7,(0.4464704637253838+0.5527115564791797j)
12,-6,(-0.2587546907477391-0.34477769340020825j)
12,-5,(-0.04587627656446666+0.03169565990813216j)
12,-4,(-0.29774507367564224-0.09713485454070514j)
12,-3,(-0.48328961024775063+0.27694077038881865j)
12,-2,(0.03576829280125357+0.31900841413216824j)
12,-1,(-0.16808495279692034+0.6348813640466769j)
12,0,(0.347678551126175+0j)
12,1,(0.16808495279692034+0.6348813640466769j)
12,2,(0.035768292801253584-0.3190084141321682j)
12,3,(0.4832896102477506+0.27694077038881865j)
12,4,(-0.2977450736756421+0.09713485454070515j)
12,5,(0.04587627656446667+0.0316956599081322j)
12,6,(-0.2587546907477391+0.34477769340020825j)
12,7,(-0.4464704637253838+0.5527115564791797j)
12,8,(-0.00025961977455080733+0.4148963231449057j)
12,9,(-0.09207077110670965+1.4816870592225215j)
12,10,(-0.4446404634368927+0.4666704338367261j)
12,11,(1.3366923367593604+1.6751031482080594j)
12,12,(-1.253090750108799+1.8783914217229758j)
13,-13,(-2.017105516802204+0.5804803270891634j)
