l,m,alm
0,0,(-0.3071899275282952+0j)
1,-1,(-0.051691992150388395-0.1953440905641995j)
1,0,(-0.6670875010552308+0j)
1,1,(0.051691992150388395-0.1953440905641995j)
2,-2,(-0.39579335790532444-0.19438113227173284j)
2,-1,(0.006619639176127816+0.018691015524743296j)
2,0,(-0.04093548952350729+0j)
2,1,(-0.006619639176127811+0.018691015524743337j)
2,2,(-0.39579335790532455+0.1943811322717329j)
3,-3,(-0.2707702533880061+0.32078307636658515j)
3,-2,(-0.1642966279312234-0.03532817547645828j)
3,-1,(-0.09364894925507627-0.11852485939440803j)
3,0,(-0.8645474158456625+0j)
3,1,(0.0936489492550763-0.11852485939440806j)
3,2,(-0.1642966279312234+0.03532817547645828j)
3,3,(0.2707702533880061+0.3207830763665851j)
4,-4,(-0.04027138383177285+0.3128575792136013j)
4,-3,(0.09161545609001152-0.02570906355142919j)
4,-2,(-0.16860216108162202+0.12855464183774912j)
4,-1,(-0.05607224409017737-0.13336705769126733j)
4,0,(0.1309812136348324+0j)
4,1,(0.05607224409017737-0.13336705769126733j)
4,2,(-0.16860216108162202-0.1285546418377491j)
4,3,(-0.09161545609001154-0.02570906355142919j)
4,4,(-0.040271383831772874-0.3128575792136013j)
5,-5,(0.01703951879644495+0.07100526803945795j)
5,-4,(-0.10245403575981461-0.15076550409968553j)
5,-3,(0.08104458335887312+0.1786794072880328j)
5,-2,(-0.1487175058580385+0.15674466395096207j)
5,-1,(0.01734138936065969+0.07076721348643214j)
5,0,(-0.8923536799607867+0j)
5,1,(-0.017341389360659674+0.07076721348643215j)
5,2,(-0.14871750585803853-0.15674466395096212j)
5,3,(-0.08104458335887312+0.17867940728803278j)
5,4,(-0.10245403575981463+0.15076550409968553j)
5,5,(-0.01703951879644495+0.07100526803945792j)
6,-6,(-0.1027173637462957-0.06658932792828735j)
6,-5,(-0.03249882893720152-0.006938430468829813j)
6,-4,(0.3492280364915346-0.10655068888032705j)
6,-3,(-0.14389806589429785-0.02434245283347066j)
6,-2,(0.006118017327336194-0.023810260329821746j)
6,-1,(0.03903761243853384+0.0456659812946362j)
6,0,(0.06516504209696615+0j)
6,1,(-0.03903761243853384+0.04566598129463622j)
6,2,(0.006118017327336194+0.02381026032982174j)
6,3,(0.14389806589429782-0.024342452833470658j)
6,4,(0.3492280364915346+0.10655068888032705j)
6,5,(0.03249882893720152-0.006938430468829808j)
6,6,(-0.10271736374629567+0.06658932792828735j)
7,-7,(-0.06101137103415691+0.05745402403844822j)
