l,m,alm
0,0,(-0.08932660335265234+0j)
1,-1,(-0.253229554144772+0.05750614430582329j)
1,0,(-0.6263470626364434+0j)
1,1,(0.253229554144772+0.05750614430582329j)
2,-2,(-0.12791366833540746-0.07067596940753174j)
2,-1,(-0.3851743807324357+0.015683036611351186j)
2,0,(-0.024171934275279104+0j)
2,1,(0.38517438073243576+0.015683036611351227j)
2,2,(-0.12791366833540754+0.07067596940753172j)
3,-3,(-0.6035831796874919-0.0905942442081539j)
3,-2,(0.21827683617101545-0.19042545683908088j)
3,-1,(-0.3354903140235184+0.022801342748023694j)
3,0,(-0.243843304254719+0j)
3,1,(0.3354903140235184+0.02280134274802369j)
3,2,(0.21827683617101545+0.19042545683908088j)
3,3,(0.6035831796874919-0.09059424420815389j)
4,-4,(-0.40040381629675237-0.0031725884916888347j)
4,-3,(-0.30269008693452737-0.041382634632284865j)
4,-2,(-0.21958182535701465+0.15094543605373872j)
4,-1,(-0.009162725670601918-0.05103026371690065j)
4,0,(0.13572964512162725+0j)
4,1,(0.009162725670601907-0.05103026371690063j)
4,2,(-0.21958182535701465-0.15094543605373867j)
4,3,(0.30269008693452737-0.04138263463228493j)
4,4,(-0.40040381629675237+0.0031725884916888394j)
5,-5,(-0.21625012365810717-0.046797746807595915j)
5,-4,(-0.45616696042196614+0.2738661876726317j)
5,-3,(-0.4302128540837608+0.8432279184065666j)
5,-2,(0.07194571835070952-0.4504371845494792j)
5,-1,(0.14751865325247082-0.21605775364046761j)
5,0,(-1.2150330078248979+0j)
5,1,(-0.1475186532524708-0.21605775364046764j)
5,2,(0.0719457183507095+0.45043718454947923j)
5,3,(0.4302128540837608+0.8432279184065666j)
5,4,(-0.45616696042196625-0.2738661876726318j)
5,5,(0.21625012365810714-0.046797746807595894j)
6,-6,(-0.07089139958123555-0.02188549741348729j)
6,-5,(0.2246549991611589+0.1534412582320278j)
6,-4,(-0.18862164694086597+0.1412758590595525j)
6,-3,(-0.6378458261881738+0.6185787424751386j)
6,-2,(0.20077133493667884+0.14052463443714588j)
6,-1,(-0.1254852107225488+0.21685177534238761j)
6,0,(-0.12389361798712686+0j)
6,1,(0.1254852107225488+0.21685177534238753j)
6,2,(0.20077133493667884-0.14052463443714586j)
6,3,(0.6378458261881738+0.6185787424751386j)
6,4,(-0.18862164694086594-0.14127585905955264j)
6,5,(-0.2246549991611589+0.15344125823202776j)
6,6,(-0.07089139958123554+0.021885497413487272j)
7,-7,(0.3486970345615176-0.05003880422769758j)
7,-6,(0.09136027996059949+0.0775504415964057j)
7,-5,(-0.2606467186030577-0.06430901293429653j)
7,-4,(-0.004651365364714237+0.7768794451846321j)
7,-3,(0.42540405294997025+0.6959454084394009j)
7,-2,(-0.3148931978973572+0.105616090180267j)
7,-1,(0.11002735250356874-0.40842597717686746j)
7,0,(-0.8425475033752464+0j)
7,1,(-0.11002735250356874-0.40842597717686746j)
7,2,(-0.31489319789735726-0.105616090180267j)
7,3,(-0.42540405294997025+0.6959454084394009j)
7,4,(-0.004651365364714279-0.7768794451846323j)
7,5,(0.26064671860305766-0.06430901293429653j)
7,6,(0.09136027996059953-0.07755044159640573j)
7,7,(-0.3486970345615177-0.05003880422769758j)
8,-8,(0.45613378115709335-0.2609748282181784j)
8,-7,(-0.33068194028063064-0.1372710614586131j)
8,-6,(-0.022669326048517294-0.037287524104924245j)
8,-5,(0.3635776129448558+0.7499922507381983j)
8,-4,(0.7947003105267577-0.006277784349812861j)
8,-3,(0.062010132142687586+0.5609271182052799j)
8,-2,(-0.17974407934346714-0.17743665109872633j)
8,-1,(0.12155962235565188+0.0647060606476732j)
8,0,(-0.7467228089494621+0j)
8,1,(-0.12155962235565188+0.06470606064767319j)
8,2,(-0.17974407934346712+0.17743665109872633j)
8,3,(-0.062010132142687586+0.5609271182052799j)
8,4,(0.7947003105267577+0.006277784349812819j)
8,5,(-0.36357761294485585+0.7499922507381984j)
8,6,(-0.022669326048517336+0.037287524104924266j)
8,7,(0.33068194028063064-0.1372710614586131j)
8,8,(0.45613378115709335+0.26097482821817836j)
9,-9,(0.028766155951434693-0.230399995543812j)
9,-8,(-0.06609345561189019+0.17915344425067756j)
9,-7,(0.5931182000006723+0.07860819275421684j)
9,-6,(0.5869846176439509+0.18160593949659745j)
9,-5,(-0.1857535913481557-0.03182236766045018j)
9,-4,(0.4356806586244124-0.04768601851411096j)
9,-3,(-0.2802486340486676-0.4571334444828712j)
9,-2,(-0.21799243940069982+0.40175850638287286j)
9,-1,(-0.34879957602784206+0.5166555896865511j)
9,0,(-0.22768228822342113+0j)
9,1,(0.34879957602784206+0.516655589686551j)
9,2,(-0.21799243940069987-0.40175850638287297j)
9,3,(0.28024863404866757-0.4571334444828712j)
9,4,(0.4356806586244126+0.04768601851411099j)
9,5,(0.18575359134815575-0.03182236766045018j)
9,6,(0.586984617643951-0.18160593949659748j)
9,7,(-0.5931182000006722+0.07860819275421684j)
9,8,(-0.06609345561189015-0.1791534442506775j)
9,9,(-0.028766155951434683-0.23039999554381202j)
10,-10,(0.049606120066939596+0.110682442353759j)
10,-9,(-0.07177166851132573-0.009497304534784848j)
10,-8,(0.6983171408077983-0.4539394706044477j)
10,-7,(-0.01944392488361471+0.21585568825073476j)
10,-6,(-0.10546107130914012-0.15148595964744166j)
10,-5,(-0.05592868272456456+0.04934663955133878j)
10,-4,(0.04220435130322689-0.20239812509343966j)
10,-3,(0.4016743840037178-0.04585236244568444j)
10,-2,(0.11500299239968753+0.21330514378072393j)
10,-1,(0.5077341843427116-0.14954013087543752j)
10,0,(0.1204585068529512+0j)
10,1,(-0.5077341843427116-0.14954013087543752j)
10,2,(0.11500299239968757-0.21330514378072402j)
10,3,(-0.4016743840037178-0.045852362445684525j)
10,4,(0.042204351303226806+0.20239812509343974j)
10,5,(0.055928682724564555+0.049346639551338736j)
10,6,(-0.10546107130914008+0.15148595964744171j)
10,7,(0.01944392488361471+0.21585568825073476j)
10,8,(0.6983171408077983+0.4539394706044477j)
10,9,(0.07177166851132573-0.009497304534784848j)
10,10,(0.049606120066939596-0.11068244235375897j)
11,-11,(0.00863154234537065-0.032996065036790416j)
11,-10,(0.07385753733146731-0.32528191618623414j)
11,-9,(-0.07976904905049172-0.27874655322626335j)
11,-8,(-0.09571731119424569+0.35284321756837095j)
11,-7,(-0.10629104794603755+0.4890361610704537j)
11,-6,(0.3384588082006784-0.14237707145472503j)
11,-5,(-0.16370705845729336+0.5770839844376779j)
11,-4,(0.43513897976534316-0.8872541179893859j)
11,-3,(-0.03253309810178642-0.34718553000525343j)
11,-2,(0.2871261796499353+0.03514949684998226j)
11,-1,(0.011307284028064721+0.2712614845068194j)
11,0,(-0.6421114284294204+0j)
11,1,(-0.0113072840280647+0.2712614845068194j)
11,2,(0.28712617964993525-0.03514949684998226j)
11,3,(0.03253309810178639-0.3471855300052535j)
11,4,(0.4351389797653431+0.8872541179893859j)
11,5,(0.16370705845729336+0.5770839844376779j)
11,6,(0.3384588082006784+0.14237707145472497j)
11,7,(0.10629104794603751+0.4890361610704536j)
11,8,(-0.09571731119424569-0.352843217568371j)
11,9,(0.07976904905049172-0.2787465532262633j)
11,10,(0.07385753733146733+0.32528191618623414j)
11,11,(-0.008631542345370639-0.03299606503679041j)
12,-12,(-0.0154084387398379+0.2645720928046407j)
12,-11,(0.22427529340640787-0.0987803062488977j)
12,-10,(0.4153269347813453+0.3094637542807073j)
12,-9,(0.12815292416771576-0.03417010763296322j)
12,-8,(0.2752244665691291+0.3107723679792767j)
12,-7,(0.33781971384730686+0.2818452176296294j)
12,-6,(0.0965011462918445-0.1622763411645469j)
12,-5,(-0.23416462957141146-0.6822565462714268j)
12,-4,(-0.25281993414051357-0.061084930745621185j)
12,-3,(-0.10046075140248067-0.14175107473603302j)
12,-2,(0.09628420513406051+0.15903649619539104j)
12,-1,(-0.03877927118973018+0.11344634933879238j)
12,0,(0.42036808985628465+0j)
12,1,(0.03877927118973016+0.11344634933879237j)
12,2,(0.09628420513406048-0.15903649619539104j)
12,3,(0.10046075140248067-0.14175107473603293j)
12,4,(-0.25281993414051357+0.06108493074562127j)
12,5,(0.23416462957141151-0.6822565462714268j)
12,6,(0.09650114629184449+0.16227634116454692j)
12,7,(-0.3378197138473069+0.28184521762962933j)
12,8,(0.275224466569129-0.3107723679792767j)
12,9,(-0.12815292416771584-0.03417010763296322j)
12,10,(0.4153269347813453-0.3094637542807073j)
12,11,(-0.22427529340640787-0.09878030624889766j)
12,12,(-0.0154084387398379-0.2645720928046407j)
13,-13,(0.0361797486315846+0.10973839912751912j)
