l,m,alm
0,0,(-0.2393749436733633+0j)
1,-1,(0.02149031874216152-0.006558322802270724j)
1,0,(-0.662380870506564+0j)
1,1,(-0.02149031874216152-0.006558322802270724j)
2,-2,(-0.023140391705392453-0.17497602483787222j)
2,-1,(0.04417244970654502+0.013371012031500885j)
2,0,(-0.07310985769553276+0j)
2,1,(-0.04417244970654504+0.013371012031500894j)
2,2,(-0.023140391705392453+0.17497602483787225j)
3,-3,(-0.10610900155780843-0.011898293374872224j)
3,-2,(0.08512883149869584-0.19229288810224782j)
3,-1,(-0.19000449393978222-0.07946303998308614j)
3,0,(-0.8852677789872453+0j)
3,1,(0.19000449393978222-0.07946303998308614j)
3,2,(0.08512883149869584+0.19229288810224782j)
3,3,(0.10610900155780843-0.011898293374872219j)
4,-4,(-0.03158696739749538-0.0962312757453618j)
4,-3,(0.17314410897601795+0.07327277758091379j)
4,-2,(-0.025115284444398193+0.09556897969181843j)
4,-1,(0.05244025317740317-0.034330133896512675j)
4,0,(0.07348687167864637+0j)
4,1,(-0.05244025317740317-0.03433013389651267j)
4,2,(-0.025115284444398207-0.09556897969181843j)
4,3,(-0.173144108976018+0.07327277758091377j)
4,4,(-0.031586967397495384+0.09623127574536183j)
5,-5,(0.1449900910380632+0.08847537787613466j)
5,-4,(-0.08607536267923799-0.25392038845864473j)
5,-3,(-0.11752769161185174+0.11274426550433438j)
5,-2,(0.07812774097655284+0.12080432638549887j)
5,-1,(0.08982581194414986+0.07183609487553955j)
5,0,(-0.8109929804123819+0j)
5,1,(-0.08982581194414985+0.07183609487553956j)
5,2,(0.07812774097655284-0.1208043263854989j)
5,3,(0.11752769161185174+0.11274426550433439j)
5,4,(-0.08607536267923799+0.25392038845864473j)
5,5,(-0.14499009103806315+0.08847537787613466j)
6,-6,(0.12253566352930373+0.135898758580282j)
6,-5,(-0.07758916082659184+0.04624608364591082j)
6,-4,(0.26433237830489+0.1463374431302648j)
6,-3,(-0.026075608584791878-0.005699025646586871j)
6,-2,(0.19622200731236183-0.03342097321994585j)
6,-1,(0.03566923922626146+0.005515024661448247j)
6,0,(-0.12964046171062538+0j)
6,1,(-0.03566923922626146+0.005515024661448237j)
6,2,(0.1962220073123619+0.03342097321994585j)
6,3,(0.02607560858479189-0.005699025646586872j)
6,4,(0.26433237830489-0.14633744313026478j)
6,5,(0.07758916082659181+0.046246083645910825j)
6,6,(0.12253566352930373-0.135898758580282j)
7,-7,(-0.2032698506298224-0.156230472427714j)
7,-6,(0.061567060689432476+0.062080509115803144j)
7,-5,(0.09356670269597804-0.1656480948855877j)
7,-4,(-0.12434023444897166-0.06338331151172996j)
7,-3,(-0.12753118203221325-0.138431542616198j)
7,-2,(0.07628450129051031-0.11949343861150988j)
7,-1,(0.01597807518624878+0.03963538461660556j)
7,0,(-0.8171045622008405+0j)
7,1,(-0.015978075186248775+0.03963538461660556j)
7,2,(0.07628450129051034+0.11949343861150986j)
7,3,(0.12753118203221325-0.138431542616198j)
7,4,(-0.12434023444897163+0.06338331151172998j)
7,5,(-0.09356670269597803-0.1656480948855877j)
7,6,(0.0615670606894325-0.06208050911580313j)
7,7,(0.20326985062982245-0.15623047242771404j)
8,-8,(0.02608086046715379-0.052076750731001445j)
8,-7,(0.13594601204771486+0.03330671758192415j)
8,-6,(0.012051094017277445+0.024083306805373485j)
8,-5,(-0.12885947921606342+0.051420759901310974j)
8,-4,(0.07304366963479979+0.12386996888367598j)
8,-3,(-0.0376899856954226+0.0520814868204149j)
8,-2,(0.12696988841217266+0.06656825147472255j)
8,-1,(0.07515926254827189+0.06420951774423647j)
8,0,(0.12776422428338174+0j)
8,1,(-0.07515926254827189+0.06420951774423649j)
8,2,(0.12696988841217263-0.06656825147472255j)
8,3,(0.0376899856954226+0.05208148682041492j)
8,4,(0.07304366963479979-0.12386996888367598j)
8,5,(0.12885947921606344+0.051420759901310994j)
8,6,(0.012051094017277445-0.024083306805373475j)
8,7,(-0.13594601204771486+0.03330671758192415j)
8,8,(0.026080860467153796+0.05207675073100143j)
9,-9,(-0.0018474968032802142-0.02627731750002702j)
9,-8,(-0.044573856728939265-0.05425459561788481j)
9,-7,(0.004088285380707471-0.05655985827371481j)
9,-6,(0.14292882986250752+0.11803412390750322j)
9,-5,(0.12110840328493414-0.012893397999439504j)
