l,m,alm
0,0,(-0.2497716318319065+0j)
1,-1,(0.35907923372610967-0.1276876214643685j)
1,0,(-0.7384842638707387+0j)
1,1,(-0.35907923372610967-0.1276876214643685j)
2,-2,(-0.5880362078789906-0.21959684488267245j)
2,-1,(0.15513936379333562+0.23934486634911814j)
2,0,(0.8033369780450124+0j)
2,1,(-0.15513936379333565+0.2393448663491182j)
2,2,(-0.5880362078789907+0.21959684488267253j)
3,-3,(0.6115476823290845+0.6368172519992837j)
3,-2,(0.05266633394788084+0.11080528992135999j)
3,-1,(-0.2305008022263998+0.25317525798221635j)
3,0,(-1.127127626530084+0j)
3,1,(0.23050080222639985+0.25317525798221635j)
3,2,(0.0526663339478808-0.11080528992136003j)
3,3,(-0.6115476823290844+0.6368172519992836j)
4,-4,(0.3476829420179638-0.5560726557114474j)
4,-3,(0.15767469982147958-0.6375298706601596j)
4,-2,(0.39770497214744743-0.16819041992630143j)
4,-1,(0.2714126350230321+0.20455231381975927j)
4,0,(-0.43324895885974896+0j)
4,1,(-0.27141263502303203+0.20455231381975936j)
4,2,(0.39770497214744743+0.16819041992630143j)
4,3,(-0.15767469982147958-0.6375298706601596j)
4,4,(0.3476829420179638+0.5560726557114474j)
5,-5,(0.30048019223342604-0.14087881337341393j)
5,-4,(-0.1127902772117695+0.7313867555438459j)
5,-3,(-0.5268211863159122-0.12768646733515196j)
5,-2,(-0.2813186837490833+0.07288734147275108j)
5,-1,(0.14814986903600685+0.020125926961163616j)
5,0,(-0.864942656885084+0j)
5,1,(-0.14814986903600685+0.020125926961163623j)
5,2,(-0.28131868374908336-0.07288734147275108j)
5,3,(0.5268211863159122-0.12768646733515196j)
5,4,(-0.11279027721176954-0.731386755543846j)
5,5,(-0.30048019223342604-0.1408788133734139j)
6,-6,(-0.9985675750359391-0.8871933956845438j)
6,-5,(0.21456207117397508-0.7448982507588666j)
6,-4,(-0.45644056792323484-0.4101207290595382j)
6,-3,(0.21086541436646977+0.2876027919380441j)
6,-2,(-0.2980885158976392+0.2412598653215491j)
6,-1,(-0.09766089336446047-0.12264408056937041j)
6,0,(-0.12363502278524743+0j)
6,1,(0.09766089336446047-0.12264408056937046j)
6,2,(-0.2980885158976392-0.24125986532154914j)
6,3,(-0.21086541436646977+0.2876027919380442j)
6,4,(-0.45644056792323484+0.4101207290595382j)
6,5,(-0.214562071173975-0.7448982507588664j)
6,6,(-0.998567575035939+0.8871933956845436j)
7,-7,(-1.017936934759226+1.5394347068686591j)
7,-6,(0.26910119445692093+1.368903908576666j)
7,-5,(-0.5034499362507929+0.9232342539797743j)
7,-4,(-0.06364239916167805+0.026264290251966218j)
7,-3,(0.05282333869092989-0.24786975741548609j)
7,-2,(0.37784932313865266-0.05806528690510302j)
7,-1,(0.29055887423833193+0.00797450150295805j)
7,0,(-0.7936454247636578+0j)
7,1,(-0.29055887423833193+0.00797450150295805j)
7,2,(0.37784932313865266+0.05806528690510306j)
7,3,(-0.05282333869092989-0.24786975741548609j)
7,4,(-0.06364239916167805-0.026264290251966232j)
7,5,(0.5034499362507928+0.9232342539797743j)
7,6,(0.26910119445692093-1.368903908576666j)
7,7,(1.017936934759226+1.5394347068686591j)
8,-8,(0.3440805189834382-0.12228126105718078j)
8,-7,(0.5687744158276062-1.1844520000399057j)
8,-6,(0.615535814146796-0.44750684343115216j)
8,-5,(0.2625096056996563-0.2940956457314317j)
8,-4,(0.5919275894947778+0.3037132928441893j)
8,-3,(-0.279253329226926+0.053301860406514086j)
8,-2,(-0.2074857694834097-0.05401600583691184j)
8,-1,(-0.018714265754420437-0.22993820273499582j)
8,0,(-0.16512504089215183+0j)
8,1,(0.018714265754420447-0.22993820273499585j)
8,2,(-0.2074857694834097+0.05401600583691184j)
8,3,(0.27925332922692614+0.0533018604065141j)
8,4,(0.5919275894947779-0.30371329284418935j)
8,5,(-0.26250960569965637-0.29409564573143177j)
8,6,(0.615535814146796+0.44750684343115216j)
8,7,(-0.5687744158276062-1.1844520000399055j)
8,8,(0.3440805189834382+0.12228126105718073j)
9,-9,(0.4399424165163506+0.21677060245584828j)
9,-8,(-0.5120479525381539+0.7855222373251644j)
9,-7,(0.0758478304641758+0.6422523343096336j)
9,-6,(-0.3448878349628386-0.19770288392053012j)
9,-5,(0.0032301694156021345-0.6317209647467206j)
9,-4,(-0.13408625050756973-0.39178924076718413j)
9,-3,(0.23539489581534342+0.036766415289391424j)
9,-2,(-0.1595449807710424+0.0913817405504258j)
9,-1,(-0.23794672052528953+0.0580139256682982j)
9,0,(-0.4480311535044518+0j)
9,1,(0.2379467205252896+0.0580139256682982j)
9,2,(-0.15954498077104246-0.0913817405504258j)
9,3,(-0.2353948958153435+0.036766415289391445j)
9,4,(-0.13408625050756973+0.39178924076718413j)
9,5,(-0.0032301694156021553-0.6317209647467205j)
9,6,(-0.3448878349628386+0.19770288392053012j)
9,7,(-0.07584783046417581+0.6422523343096336j)
