l,m,alm
0,0,(0.8836239081219285+0j)
1,-1,(0.27229019016445444-0.9482606581483751j)
1,0,(-0.7826246070816113+0j)
1,1,(-0.27229019016445444-0.9482606581483751j)
2,-2,(-1.4681439142230712+0.7949422966880921j)
2,-1,(-1.7890304214965183-0.22067373441584986j)
2,0,(-1.0431863340432401+0j)
2,1,(1.7890304214965183-0.2206737344158497j)
2,2,(-1.4681439142230712-0.7949422966880921j)
3,-3,(3.2707054182768864-1.1202436293147797j)
3,-2,(2.201094607794533-0.207321517112476j)
3,-1,(0.48747239533982684-1.111048319639679j)
3,0,(-1.6363622957646025+0j)
3,1,(-0.48747239533982684-1.111048319639679j)
3,2,(2.201094607794533+0.20732151711247607j)
3,3,(-3.2707054182768864-1.1202436293147797j)
4,-4,(1.204162600527627+3.8182099999798726j)
4,-3,(2.7255320746694673+2.2755111801361596j)
4,-2,(0.6619344005960462-0.38477145738314816j)
4,-1,(1.0602885518783804-0.359216042589922j)
4,0,(-0.6668226307343443+0j)
4,1,(-1.0602885518783802-0.35921604258992207j)
4,2,(0.6619344005960462+0.3847714573831483j)
4,3,(-2.7255320746694673+2.27551118013616j)
4,4,(1.2041626005276271-3.818209999979873j)
5,-5,(1.7357259166024095+1.6786860833569122j)
5,-4,(-3.6456108400692213-1.5563196981194378j)
5,-3,(1.2789945631531556+0.010094863201016527j)
5,-2,(-0.3476507537257388-0.47785273825868524j)
5,-1,(-0.337557166424699+0.3006102661419j)
5,0,(0.2515704173569165+0j)
5,1,(0.337557166424699+0.30061026614189995j)
5,2,(-0.34765075372573895+0.47785273825868535j)
5,3,(-1.2789945631531556+0.010094863201016692j)
5,4,(-3.6456108400692218+1.5563196981194383j)
5,5,(-1.7357259166024095+1.678686083356912j)
6,-6,(2.875525934801802-2.264862553190135j)
6,-5,(-3.1940477060148242-5.048657886913354j)
6,-4,(-0.8108099496220881+0.6340474623470783j)
6,-3,(-0.8194433585916628+0.5205145616812719j)
6,-2,(1.1130921670266125+1.2702456527976391j)
6,-1,(0.38309095834181034+0.4692493295805343j)
6,0,(0.7659528671744993+0j)
6,1,(-0.38309095834181034+0.46924932958053434j)
6,2,(1.1130921670266125-1.2702456527976391j)
6,3,(0.8194433585916631+0.5205145616812719j)
6,4,(-0.8108099496220879-0.6340474623470783j)
6,5,(3.1940477060148242-5.048657886913353j)
6,6,(2.875525934801802+2.264862553190135j)
7,-7,(-0.0623090879295008+1.3574579957760378j)
7,-6,(2.3341683729902845-1.513876375444042j)
7,-5,(-2.259571640018543-1.3550758538580876j)
7,-4,(-0.4077665634145298+2.8265739724777332j)
7,-3,(-2.124608223089078+1.4130477818572849j)
7,-2,(-0.11692522814005343-0.23568072014353172j)
7,-1,(-0.18396816690159304+0.8785962646038372j)
7,0,(-1.2466398509237664+0j)
7,1,(0.18396816690159296+0.8785962646038372j)
7,2,(-0.11692522814005331+0.2356807201435317j)
7,3,(2.124608223089078+1.4130477818572849j)
7,4,(-0.40776656341452977-2.8265739724777332j)
7,5,(2.2595716400185424-1.3550758538580876j)
7,6,(2.3341683729902845+1.513876375444042j)
7,7,(0.06230908792950047+1.3574579957760373j)
8,-8,(-1.1032722115227216-3.4617277777277167j)
8,-7,(-4.104215947185736+2.8187951542939955j)
8,-6,(3.1743895984004906+0.5572081290672969j)
8,-5,(1.3541231332166586+1.4840980991041395j)
8,-4,(0.2517759035147037+0.10148993224925888j)
8,-3,(-0.38885301763493774-1.9940819188210623j)
8,-2,(-0.9823080630666212-1.657576618652752j)
8,-1,(-0.9308357800534981+0.17771491849003615j)
8,0,(-1.8289645484335681+0j)
8,1,(0.9308357800534983+0.17771491849003623j)
8,2,(-0.982308063066621+1.657576618652752j)
8,3,(0.38885301763493774-1.994081918821063j)
8,4,(0.25177590351470375-0.10148993224925888j)
8,5,(-1.3541231332166586+1.4840980991041397j)
8,6,(3.1743895984004906-0.5572081290672969j)
8,7,(4.104215947185736+2.8187951542939955j)
8,8,(-1.1032722115227218+3.4617277777277167j)
9,-9,(-7.040000776360808-2.1923433150116303j)
9,-8,(0.34425053966820934-1.9376254214971569j)
9,-7,(-0.8295328486259032+4.220673322981237j)
9,-6,(1.8166077314324067-2.041472354515858j)
9,-5,(0.21537280655409993-0.8049045212492788j)
9,-4,(2.1138085119551713-1.8857769107399474j)
9,-3,(-0.045126726644959834-1.067109451940642j)
9,-2,(-0.8044797315308811+0.8238736302055437j)
9,-1,(-0.11028151171988074-0.4089717357094915j)
9,0,(-0.548977123296373+0j)
9,1,(0.11028151171988082-0.4089717357094915j)
9,2,(-0.8044797315308814-0.8238736302055436j)
9,3,(0.04512672664495998-1.067109451940642j)
9,4,(2.1138085119551717+1.8857769107399476j)
9,5,(-0.21537280655410002-0.8049045212492785j)
9,6,(1.8166077314324072+2.041472354515858j)
9,7,(0.8295328486259028+4.220673322981236j)
9,8,(0.34425053966820934+1.9376254214971576j)
9,9,(7.040000776360808-2.1923433150116303j)
10,-10,(-1.949690553548696+1.259096000221684j)
10,-9,(6.098587823380822+5.215503286896161j)
10,-8,(-2.392188209672309+1.1815692521687289j)
10,-7,(2.6287634408298732-0.375879688261846j)
10,-6,(0.1598308745185575-0.00038446509382794456j)
10,-5,(-1.6576146621655068-0.5552069017157872j)
10,-4,(1.2673419966907766-0.04101139346884182j)
10,-3,(0.2859541843098216+1.7508524695299064j)
10,-2,(-0.11691711043036047+0.3486866613879305j)
10,-1,(0.5938684235256866-1.1524583938270705j)
10,0,(0.9148850592104392+0j)
10,1,(-0.5938684235256866-1.1524583938270705j)
10,2,(-0.11691711043036053-0.3486866613879305j)
10,3,(-0.2859541843098216+1.7508524695299064j)
10,4,(1.2673419966907769+0.041011393468841736j)
10,5,(1.6576146621655068-0.5552069017157873j)
10,6,(0.1598308745185574+0.00038446509382794456j)
10,7,(-2.628763440829873-0.375879688261846j)
10,8,(-2.392188209672309-1.1815692521687289j)
10,9,(-6.098587823380821+5.215503286896161j)
10,10,(-1.9496905535486957-1.259096000221684j)
11,-11,(-2.3157833922745104+3.953127261257227j)
11,-10,(2.242900450814761-0.7256858915398945j)
11,-9,(-0.42117265408026267+0.6758094952254059j)
11,-8,(-1.8876418781487347-1.7734301711479958j)
11,-7,(0.14973113159282905-1.5361340702764656j)
