l,m,alm
0,0,(-0.020778069640952034+0j)
1,-1,(-0.9546868165124528+2.0146590602045698j)
1,0,(-0.4748318047479119+0j)
1,1,(0.9546868165124528+2.0146590602045698j)
2,-2,(1.1090911810494481+0.48671024635426374j)
2,-1,(0.18529452316693928-0.04834304266572035j)
2,0,(2.0933466982347446+0j)
2,1,(-0.18529452316693937-0.04834304266572035j)
2,2,(1.1090911810494481-0.48671024635426363j)
3,-3,(-0.5403508749346464-1.600494815812661j)
3,-2,(-0.596848117796288+0.8053265323577289j)
3,-1,(-0.3974238480974824+1.886577424970827j)
3,0,(3.8384981710476795+0j)
3,1,(0.3974238480974824+1.8865774249708274j)
3,2,(-0.596848117796288-0.8053265323577289j)
3,3,(0.5403508749346464-1.6004948158126613j)
4,-4,(-0.6069591030576793-1.4222229076872883j)
4,-3,(0.5248003888026889-2.2305541471235153j)
4,-2,(-0.5135702845499808+0.8335725869855647j)
4,-1,(-2.7553560709569576-0.20595805581244203j)
4,0,(-2.6360522145856553+0j)
4,1,(2.755356070956957-0.20595805581244195j)
4,2,(-0.5135702845499805-0.8335725869855647j)
4,3,(-0.524800388802689-2.2305541471235153j)
4,4,(-0.6069591030576796+1.4222229076872883j)
5,-5,(0.4777892796696463+0.7691261764950725j)
5,-4,(4.128288545120661+0.8444744733805619j)
5,-3,(2.129243923510487-2.9152208960115247j)
5,-2,(-1.452100147170497-0.5197407418122555j)
5,-1,(0.35250124427188-1.8324846563229005j)
5,0,(-2.8648715896400865+0j)
5,1,(-0.3525012442718799-1.8324846563229003j)
5,2,(-1.4521001471704973+0.5197407418122555j)
5,3,(-2.129243923510487-2.9152208960115247j)
5,4,(4.128288545120661-0.8444744733805621j)
5,5,(-0.477789279669646+0.7691261764950725j)
6,-6,(-1.0366035838729657-2.185788359330145j)
6,-5,(-1.6389133068009978+1.448356769555179j)
6,-4,(0.22667284223772358+0.5703642584066971j)
6,-3,(-2.297486165915138+2.3744588700583353j)
6,-2,(-1.5908902636826794+0.2811737552018433j)
6,-1,(1.0536825028195542+0.9806655396363904j)
6,0,(-1.2535719424190686+0j)
6,1,(-1.0536825028195542+0.9806655396363904j)
6,2,(-1.5908902636826798-0.28117375520184335j)
6,3,(2.297486165915138+2.374458870058336j)
6,4,(0.2266728422377234-0.570364258406697j)
6,5,(1.6389133068009976+1.448356769555179j)
6,6,(-1.0366035838729657+2.185788359330145j)
7,-7,(-1.4173223905353096-1.9613800314448904j)
7,-6,(-0.7041358035653698+3.1097530133270315j)
7,-5,(0.7672815324541306+0.3917269136504144j)
7,-4,(0.21892121683490012-1.467190902799534j)
7,-3,(-0.3444958667832171+0.43483738900437047j)
7,-2,(-0.12949458177683537+0.8164560370553025j)
7,-1,(-0.13101989498648994-0.6798649391354167j)
7,0,(-1.0351597676621214+0j)
7,1,(0.1310198949864901-0.6798649391354167j)
7,2,(-0.12949458177683534-0.8164560370553025j)
7,3,(0.3444958667832169+0.43483738900437063j)
7,4,(0.21892121683490004+1.467190902799534j)
7,5,(-0.7672815324541301+0.3917269136504144j)
7,6,(-0.7041358035653696-3.1097530133270315j)
7,7,(1.4173223905353098-1.9613800314448904j)
8,-8,(1.2781183426830696-2.886145286006338j)
8,-7,(-0.27227171290223695-0.43323918351249907j)
8,-6,(-1.9153057541201968-2.1787222028527937j)
8,-5,(0.7114504956400012-0.12897980085625171j)
8,-4,(1.3067263399298383-0.22126846069429515j)
8,-3,(0.5342102951627496-0.7525746717791346j)
8,-2,(1.167694912765279+0.5595702772923143j)
8,-1,(0.1688166093757553+0.6916241806610733j)
8,0,(1.4786399027741053+0j)
8,1,(-0.16881660937575543+0.6916241806610736j)
8,2,(1.1676949127652787-0.5595702772923143j)
8,3,(-0.5342102951627498-0.7525746717791348j)
8,4,(1.3067263399298383+0.22126846069429523j)
8,5,(-0.7114504956400012-0.12897980085625188j)
8,6,(-1.915305754120196+2.1787222028527937j)
8,7,(0.27227171290223695-0.4332391835124989j)
8,8,(1.2781183426830696+2.886145286006338j)
9,-9,(2.646940198533453-0.7205199307115955j)
9,-8,(0.42052178884667185+0.6341139316577309j)
9,-7,(-3.2461456508226596-0.9684084452808741j)
9,-6,(-1.4312231551078938+2.4030800212474874j)
9,-5,(0.4129259595802804+0.5074818780723648j)
9,-4,(-2.2952095082901387+1.0032025527008244j)
9,-3,(-1.0144066535438045+0.5629953004767483j)
9,-2,(1.7828379871377427-1.782945868017097j)
9,-1,(0.1255335826433265-0.031518202697173744j)
9,0,(0.9970706686150554+0j)
9,1,(-0.12553358264332645-0.03151820269717369j)
9,2,(1.7828379871377427+1.7829458680170973j)
9,3,(1.014406653543805+0.5629953004767483j)
9,4,(-2.2952095082901396-1.0032025527008244j)
9,5,(-0.41292595958028067+0.5074818780723647j)
9,6,(-1.431223155107894-2.4030800212474883j)
9,7,(3.2461456508226596-0.9684084452808741j)
9,8,(0.42052178884667185-0.6341139316577316j)
9,9,(-2.646940198533453-0.7205199307115955j)
10,-10,(0.3879889626771575+0.9750484713223875j)
10,-9,(-3.9723896536017285-0.3673101233284215j)
10,-8,(0.22281754525525185-6.438087162375209j)
10,-7,(-1.1480438743681889-0.45990976661347444j)
10,-6,(-2.655876654500797+1.9463104336448467j)
10,-5,(-0.0932331325783539+1.8939797528826088j)
10,-4,(-1.5608172821150694+0.540471849602263j)
10,-3,(2.7196679860016904-0.24028935854927466j)
10,-2,(0.7112967408136107+0.15095825845785135j)
10,-1,(0.5531448782129093-0.3829600329123321j)
10,0,(0.29319805450507863+0j)
10,1,(-0.5531448782129093-0.3829600329123321j)
10,2,(0.7112967408136108-0.15095825845785138j)
10,3,(-2.719667986001691-0.24028935854927477j)
10,4,(-1.5608172821150694-0.5404718496022632j)
10,5,(0.09323313257835393+1.8939797528826088j)
10,6,(-2.6558766545007972-1.9463104336448467j)
10,7,(1.1480438743681889-0.4599097666134741j)
10,8,(0.22281754525525202+6.438087162375209j)
10,9,(3.9723896536017285-0.3673101233284216j)
10,10,(0.3879889626771573-0.9750484713223875j)
11,-11,(2.0712060100553966-0.8921117537293518j)
11,-10,(0.12915307880683696-0.918717583021916j)
11,-9,(0.6954966556375923-1.56929873840215j)
11,-8,(2.3773352700154593-2.1290143682324154j)
11,-7,(-0.06255196067389276-0.4198748930280939j)
11,-6,(0.26818275416138837-1.3362445371197886j)
11,-5,(-1.0283420165847115-1.2322736572726745j)
11,-4,(-0.547550707222685-0.46444375745456257j)
11,-3,(0.297307605640049-0.6159886031846621j)
11,-2,(-0.7914159067711255+2.0314206684651936j)
11,-1,(-0.9090095443094119+1.0388319419878285j)
11,0,(-0.5087810777830087+0j)
11,1,(0.9090095443094122+1.0388319419878285j)
11,2,(-0.7914159067711255-2.0314206684651936j)
11,3,(-0.29730760564004904-0.6159886031846624j)
11,4,(-0.5475507072226852+0.4644437574545625j)
11,5,(1.0283420165847117-1.2322736572726747j)
11,6,(0.26818275416138826+1.3362445371197886j)
11,7,(0.06255196067389276-0.4198748930280937j)
11,8,(2.3773352700154593+2.1290143682324154j)
11,9,(-0.695496655637592-1.56929873840215j)
11,10,(0.12915307880683696+0.9187175830219165j)
11,11,(-2.0712060100553966-0.8921117537293518j)
12,-12,(1.9167800760050204+2.370645239624352j)
12,-11,(-2.020878352529824-0.4263750109738848j)
12,-10,(1.7115004260061675-0.039848917359598175j)
12,-9,(1.941115109893787+1.8530900655756744j)
12,-8,(0.2070832916641559-0.34070121408548054j)
12,-7,(0.3691189362567378+2.7209955780483317j)
12,-6,(0.9164586852399668+0.664390674835187j)
12,-5,(0.13470925040294882-1.153410753745663j)
12,-4,(0.30906791494736574+0.03317318398214267j)
12,-3,(-1.8108248172806096-0.5346395072493387j)
12,-2,(-1.073007284637685-1.2021058884500675j)
12,-1,(-0.388510958506141+0.3654133031047413j)
12,0,(0.49485155056727176+0j)
12,1,(0.388510958506141+0.3654133031047412j)
12,2,(-1.073007284637685+1.2021058884500675j)
12,3,(1.8108248172806094-0.5346395072493388j)
12,4,(0.30906791494736585-0.03317318398214267j)
12,5,(-0.13470925040294876-1.1534107537456633j)
12,6,(0.9164586852399668-0.6643906748351871j)
12,7,(-0.3691189362567377+2.7209955780483317j)
12,8,(0.2070832916641559+0.34070121408548054j)
12,9,(-1.9411151098937873+1.8530900655756744j)
12,10,(1.7115004260061675+0.039848917359598134j)
12,11,(2.0208783525298237-0.4263750109738848j)
12,12,(1.9167800760050206-2.3706452396243525j)
13,-13,(-3.8305382600097224+2.3182371361174914j)
13,-12,(-2.5116761130737304-8.092193637471246j)
13,-11,(4.435350429220219-2.3360825176935194j)
13,-10,(-3.1262784009330415+0.41542525660646046j)
13,-9,(-4.76057467030101-0.38788837980370294j)
13,-8,(0.4556729588816672+0.2543052033305695j)
