l,m,alm
0,0,(0.9201005867218899+0j)
1,-1,(0.9961746838019002-0.7660495342752233j)
1,0,(-0.8605613045424005+0j)
1,1,(-0.9961746838019002-0.7660495342752233j)
2,-2,(-1.3149975975562223+0.6673879727283873j)
2,-1,(-1.9369639694868257-0.5023529069914953j)
2,0,(-1.2138161373502796+0j)
2,1,(1.9369639694868261-0.5023529069914954j)
2,2,(-1.3149975975562227-0.6673879727283876j)
3,-3,(2.982249771660697-2.2710467508712906j)
3,-2,(2.6992756226217183-0.16499110697103034j)
3,-1,(0.027246792152530855-0.9154306120871665j)
3,0,(-1.7950260922421126+0j)
3,1,(-0.027246792152530855-0.9154306120871665j)
3,2,(2.699275622621718+0.16499110697103034j)
3,3,(-2.9822497716606966-2.2710467508712906j)
4,-4,(0.7491630627213886+0.476177441282834j)
4,-3,(2.776578186033565+2.607915036245724j)
4,-2,(0.22853049517585558+0.8400333903832158j)
4,-1,(1.8398805240327332-0.2943994412099839j)
4,0,(-0.27983981458038126+0j)
4,1,(-1.839880524032733-0.29439944120998385j)
4,2,(0.2285304951758559-0.8400333903832158j)
4,3,(-2.776578186033565+2.607915036245724j)
4,4,(0.7491630627213884-0.47617744128283396j)
5,-5,(-1.282467648815241-0.015481348745936527j)
5,-4,(-3.4435250691818147+0.36790041609058044j)
5,-3,(0.20716459048496721+0.7653988978455138j)
5,-2,(-0.12261854750192575+0.21728273744030938j)
5,-1,(0.6036468454348936+0.08430834481165035j)
5,0,(0.9969494466812937+0j)
5,1,(-0.6036468454348936+0.08430834481165035j)
5,2,(-0.12261854750192575-0.21728273744030946j)
5,3,(-0.20716459048496705+0.7653988978455141j)
5,4,(-3.4435250691818147-0.36790041609058055j)
5,5,(1.2824676488152407-0.015481348745936195j)
6,-6,(1.6466578916197596-1.1920859094883367j)
6,-5,(-2.577502665721065-3.7521098952218126j)
6,-4,(-1.9402525818282652+2.5155945364274124j)
6,-3,(-1.7593775691299676-0.00028919617282902933j)
6,-2,(1.492647329074442+0.10096924814942135j)
6,-1,(-0.3857985185347012+1.1708138120569875j)
6,0,(0.5617961138191833+0j)
6,1,(0.3857985185347012+1.1708138120569875j)
6,2,(1.4926473290744422-0.10096924814942139j)
6,3,(1.759377569129968-0.0002891961728288635j)
6,4,(-1.9402525818282652-2.515594536427412j)
6,5,(2.577502665721065-3.7521098952218126j)
6,6,(1.6466578916197596+1.1920859094883367j)
7,-7,(-0.7242387451310917+2.0900339620324173j)
7,-6,(4.770392019615837-2.3742258507827745j)
7,-5,(-1.2962807623668169-3.182774633884052j)
7,-4,(-0.5846189236552001+0.29426175424399975j)
7,-3,(-2.3933607075733763+0.5259725493050802j)
7,-2,(-1.1537152685650698-0.4940231452514577j)
7,-1,(-1.4205894744261738+1.6344180070505587j)
7,0,(-1.9661755479961598+0j)
7,1,(1.4205894744261742+1.6344180070505587j)
7,2,(-1.1537152685650698+0.4940231452514578j)
7,3,(2.3933607075733763+0.5259725493050801j)
7,4,(-0.5846189236552002-0.2942617542439999j)
7,5,(1.2962807623668169-3.1827746338840517j)
7,6,(4.770392019615836+2.374225850782774j)
7,7,(0.7242387451310918+2.0900339620324173j)
8,-8,(-0.4493231875153189+0.11964402592403431j)
8,-7,(-2.6181874142220005+7.011318279370509j)
8,-6,(4.146442542824009-0.3139515389443816j)
