l,m,alm
0,0,(-0.11841567897947734+0j)
1,-1,(0.2885019181143381+1.1222523356361531j)
1,0,(-1.0459830877563372+0j)
1,1,(-0.2885019181143381+1.1222523356361531j)
2,-2,(2.3541385806648143-1.0774257589581302j)
2,-1,(-1.464481743976554+0.19134560897148864j)
2,0,(-0.8685897895006147+0j)
2,1,(1.4644817439765543+0.19134560897148872j)
2,2,(2.354138580664815+1.0774257589581302j)
3,-3,(-0.18341601787361334-1.62741549550462j)
3,-2,(1.3339516348875262-0.3241174453235883j)
3,-1,(-1.289943934784988-1.0218416467200229j)
3,0,(3.66585030508671+0j)
3,1,(1.2899439347849877-1.0218416467200229j)
3,2,(1.3339516348875264+0.32411744532358844j)
3,3,(0.183416017873613-1.6274154955046194j)
4,-4,(1.532842059804988+2.0862563794565494j)
4,-3,(-1.4713076517671948-0.27785755243866056j)
4,-2,(1.794697078305568+0.6733671336735115j)
4,-1,(1.5959754115587235+0.5116061399484054j)
4,0,(1.749523524263154+0j)
4,1,(-1.5959754115587235+0.5116061399484053j)
4,2,(1.7946970783055676-0.6733671336735115j)
4,3,(1.4713076517671946-0.27785755243866067j)
4,4,(1.532842059804988-2.0862563794565494j)
5,-5,(1.0581219826707544-0.7781967081023567j)
5,-4,(-1.942407534507261+1.7478282416200037j)
5,-3,(-0.14905706120246653+0.6888716347319089j)
5,-2,(-1.1152669680669183-1.0439444217860976j)
5,-1,(0.7207502027744135-0.5476818140289984j)
5,0,(-1.2992846954831712+0j)
5,1,(-0.7207502027744134-0.5476818140289984j)
5,2,(-1.1152669680669183+1.0439444217860976j)
5,3,(0.14905706120246645+0.6888716347319087j)
5,4,(-1.9424075345072616-1.7478282416200042j)
5,5,(-1.0581219826707542-0.7781967081023567j)
6,-6,(3.7584252356349697+2.7841981511644773j)
6,-5,(-0.11667824177900982-3.8814314885278165j)
6,-4,(0.5379750135893363+0.3598473135611464j)
6,-3,(1.5343004546002526-1.2479798317300752j)
6,-2,(-1.3747640309970504-0.4942080895763652j)
6,-1,(1.1332816458075132+0.43058262684818016j)
6,0,(0.9084279091544476+0j)
6,1,(-1.1332816458075132+0.43058262684818016j)
6,2,(-1.3747640309970504+0.49420808957636503j)
6,3,(-1.5343004546002528-1.2479798317300752j)
6,4,(0.5379750135893365-0.3598473135611464j)
6,5,(0.11667824177900965-3.8814314885278165j)
6,6,(3.7584252356349697-2.7841981511644764j)
7,-7,(0.9044048778131151+2.015157218425769j)
7,-6,(-1.1406719979745368+1.4606170271282541j)
7,-5,(4.488004474547965+1.131516207038241j)
7,-4,(-2.2518571874431443+2.299860385523281j)
7,-3,(1.02715349916742+2.2568301921595935j)
7,-2,(0.12442365424559709-0.9961025764255548j)
7,-1,(-0.00023403112880506698-0.008694711965781397j)
7,0,(-0.6192587146010706+0j)
7,1,(0.00023403112880490118-0.00869471196578123j)
7,2,(0.12442365424559713+0.9961025764255548j)
7,3,(-1.0271534991674203+2.2568301921595935j)
7,4,(-2.2518571874431452-2.299860385523281j)
7,5,(-4.488004474547964+1.131516207038241j)
7,6,(-1.140671997974537-1.4606170271282541j)
7,7,(-0.9044048778131151+2.015157218425769j)
8,-8,(3.5292454044488313+2.126814546965725j)
8,-7,(1.5335284365835853-0.27832472921775925j)
8,-6,(3.7889742987141046+0.8720278341795469j)
8,-5,(-3.0969624071814983+1.5729648194430157j)
8,-4,(2.465533816786515-0.6887267695687807j)
8,-3,(-2.306099494766637+1.33045136110118j)
8,-2,(0.8287308860993226-1.2479174020316215j)
8,-1,(-1.1066028741717768-1.3550260652229613j)
8,0,(-2.296293799820245+0j)
8,1,(1.106602874171777-1.3550260652229615j)
8,2,(0.8287308860993226+1.2479174020316215j)
8,3,(2.306099494766637+1.33045136110118j)
8,4,(2.465533816786515+0.6887267695687808j)
8,5,(3.096962407181499+1.5729648194430157j)
8,6,(3.7889742987141046-0.8720278341795469j)
8,7,(-1.5335284365835853-0.2783247292177596j)
8,8,(3.5292454044488313-2.126814546965725j)
9,-9,(2.8591737445722143-3.256697531184555j)
9,-8,(0.07008647573237385-1.4925885772115133j)
9,-7,(4.698752075421033+2.3182035900777507j)
9,-6,(-1.2047814792621976-0.7128234893560665j)
9,-5,(1.584349003421896+0.1779975253116735j)
9,-4,(2.7109703464069277-0.8570418163047261j)
9,-3,(0.9598468898133018-2.086848076574869j)
9,-2,(-0.9403353044058187+1.5869799274186174j)
9,-1,(-0.36001014537192055-0.06113259827960807j)
9,0,(0.18414697957971604+0j)
9,1,(0.3600101453719207-0.061132598279608166j)
9,2,(-0.9403353044058187-1.5869799274186174j)
9,3,(-0.9598468898133018-2.0868480765748694j)
9,4,(2.7109703464069277+0.8570418163047261j)
9,5,(-1.5843490034218959+0.1779975253116735j)
9,6,(-1.2047814792621976+0.7128234893560665j)
9,7,(-4.698752075421032+2.3182035900777502j)
9,8,(0.07008647573237385+1.4925885772115133j)
9,9,(-2.8591737445722147-3.2566975311845554j)
10,-10,(2.6358660267478005-0.1254711240951294j)
10,-9,(-1.49747398626804+1.4191974243065748j)
10,-8,(3.947061996010447-2.2702328341993483j)
10,-7,(1.1940795587518345+1.9708497048642586j)
10,-6,(0.7682646864786487-0.8951025970647449j)
10,-5,(-0.2901288875324956-0.30379830598187685j)
10,-4,(0.5723634057277134+0.2832312873688543j)
10,-3,(-0.10349459901696642-0.8588968196717434j)
10,-2,(0.22042981632834655+1.3999475385496873j)
10,-1,(-0.4026185928965413+0.7650136034872352j)
10,0,(-0.8852522623662274+0j)
10,1,(0.40261859289654117+0.7650136034872351j)
10,2,(0.22042981632834655-1.3999475385496873j)
10,3,(0.10349459901696646-0.8588968196717434j)
10,4,(0.5723634057277134-0.2832312873688541j)
10,5,(0.2901288875324957-0.303798305981877j)
10,6,(0.7682646864786487+0.8951025970647452j)
10,7,(-1.1940795587518345+1.9708497048642586j)
10,8,(3.947061996010447+2.2702328341993487j)
10,9,(1.49747398626804+1.4191974243065753j)
10,10,(2.6358660267478005+0.12547112409512906j)
11,-11,(1.071796142764522-3.6406463091968635j)
11,-10,(2.230414605865637+4.245687742813145j)
11,-9,(3.8506979662928527-3.5217502840974793j)
11,-8,(1.4686565289750406-1.7230579725626012j)
