l,m,alm
0,0,(-0.2426391408642133+0j)
1,-1,(0.06748614127619981-0.5473288884503115j)
1,0,(-0.6942590975793338+0j)
1,1,(-0.06748614127619981-0.5473288884503115j)
2,-2,(-0.26408192384994084+0.5385572473443241j)
2,-1,(-0.3907583133906541+0.5973608578951258j)
2,0,(0.8638767205403637+0j)
2,1,(0.3907583133906542+0.5973608578951259j)
2,2,(-0.26408192384994084-0.5385572473443243j)
3,-3,(-0.46287389906043436-0.6834001978025633j)
3,-2,(0.07145220984708057-0.5936448085660101j)
3,-1,(-0.33071718242951986-0.048131716998848675j)
3,0,(-1.2555039761614384+0j)
3,1,(0.33071718242951986-0.048131716998848675j)
3,2,(0.07145220984708057+0.5936448085660101j)
3,3,(0.4628738990604343-0.6834001978025632j)
4,-4,(-0.5624866316762097+0.27860948939601254j)
4,-3,(0.668047252865776-0.3428603558313291j)
4,-2,(0.42361945885605673-0.5619596589545243j)
4,-1,(-0.011911794935371638+0.10850146487583044j)
4,0,(-0.7789985120795323+0j)
4,1,(0.011911794935371617+0.10850146487583041j)
4,2,(0.42361945885605673+0.5619596589545243j)
4,3,(-0.668047252865776-0.342860355831329j)
4,4,(-0.5624866316762097-0.27860948939601254j)
5,-5,(-0.699498289731978+0.05257667637513648j)
5,-4,(0.010821809283426636+0.42942293534598625j)
5,-3,(0.23588598972180716+0.5491986841709429j)
5,-2,(-0.17700866721038866-0.08570229060613065j)
5,-1,(-0.011034227239099503-0.1076031125222255j)
5,0,(-0.6660504484504833+0j)
5,1,(0.011034227239099461-0.10760311252222547j)
5,2,(-0.17700866721038874+0.08570229060613069j)
5,3,(-0.23588598972180716+0.5491986841709429j)
5,4,(0.010821809283426636-0.4294229353459863j)
5,5,(0.699498289731978+0.05257667637513656j)
6,-6,(0.6643576407345928+0.2635813415230141j)
6,-5,(-0.16964675765532236-0.8651778060843128j)
6,-4,(-0.28328290058210764+0.019325098870288847j)
6,-3,(-0.11636761718892455+0.013290133352896033j)
6,-2,(-0.39738352103586094+0.07684557455049937j)
6,-1,(0.3886519063743287-0.21386328231257096j)
6,0,(-0.13574243554956153+0j)
6,1,(-0.3886519063743287-0.213863282312571j)
6,2,(-0.397383521035861-0.0768455745504994j)
6,3,(0.11636761718892451+0.01329013335289595j)
6,4,(-0.28328290058210764-0.01932509887028889j)
6,5,(0.16964675765532236-0.8651778060843127j)
6,6,(0.6643576407345929-0.26358134152301405j)
7,-7,(-0.8546804932984337+0.22010539732938517j)
7,-6,(0.0895562082606931+0.20458497033409132j)
7,-5,(0.7842928322152894-0.28067221579759977j)
7,-4,(-0.35259351498768693+0.07175033992495351j)
7,-3,(0.21981281794230229+0.046068070813975084j)
7,-2,(0.30084911777944834+0.1880495849801703j)
7,-1,(-0.03958884685888403+0.22710305141474302j)
7,0,(-0.6439071452476935+0j)
7,1,(0.03958884685888401+0.22710305141474307j)
7,2,(0.3008491177794483-0.1880495849801703j)
7,3,(-0.2198128179423023+0.04606807081397508j)
7,4,(-0.352593514987687-0.07175033992495357j)
7,5,(-0.7842928322152893-0.28067221579759977j)
7,6,(0.08955620826069306-0.20458497033409132j)
7,7,(0.8546804932984337+0.22010539732938517j)
8,-8,(0.471941267344443-0.48523002918096336j)
8,-7,(-0.5962806230769021+0.30722299998422253j)
8,-6,(0.07269313822457536+0.3097689600625598j)
8,-5,(-0.09575571406784117+0.2334105924719811j)
8,-4,(0.17140260711156283-0.15089306327353152j)
8,-3,(-0.33105720504139907-0.2162413743323252j)
8,-2,(-0.09756278600711345+0.14548132631091057j)
8,-1,(-0.023974637867226208+0.12611566572033311j)
8,0,(-0.28577460774589575+0j)
8,1,(0.023974637867226235+0.12611566572033311j)
8,2,(-0.09756278600711345-0.14548132631091062j)
8,3,(0.3310572050413992-0.2162413743323252j)
8,4,(0.1714026071115628+0.15089306327353152j)
8,5,(0.09575571406784121+0.2334105924719811j)
8,6,(0.0726931382245754-0.3097689600625598j)
8,7,(0.5962806230769021+0.3072229999842225j)
8,8,(0.47194126734444286+0.4852300291809632j)
9,-9,(-0.6242101274847984+0.8767751402240282j)
9,-8,(0.8478744718319172-0.4194783207250467j)
9,-7,(0.23271193017276814-0.22150870499997635j)
9,-6,(-0.4420692850850371+0.2810100763784488j)
9,-5,(-0.4232541355234999-0.17924035282869166j)
9,-4,(0.541197754274959+0.19902023566352503j)
9,-3,(-0.12299131282659802-0.24177662295927663j)
9,-2,(-0.2886388849387557-0.15308333354261403j)
9,-1,(0.03391059493661078+0.07134149416343441j)
9,0,(-0.39043794308679736+0j)
9,1,(-0.033910594936610805+0.07134149416343442j)
9,2,(-0.2886388849387558+0.15308333354261405j)
9,3,(0.12299131282659805-0.24177662295927663j)
9,4,(0.5411977542749592-0.19902023566352506j)
9,5,(0.42325413552349983-0.1792403528286917j)
9,6,(-0.4420692850850373-0.2810100763784488j)
9,7,(-0.23271193017276812-0.2215087049999763j)
9,8,(0.8478744718319172+0.4194783207250468j)
9,9,(0.6242101274847983+0.8767751402240282j)
10,-10,(0.47921200167001315-0.873950740148557j)
10,-9,(-0.6859799287959484+0.33291296743570314j)
10,-8,(-0.015072374414626786+0.16933207326285865j)
10,-7,(0.5736533829316555-0.20530090426008096j)
10,-6,(0.08652542970281567-0.20997306833401055j)
10,-5,(-0.0037210741417574933+0.19938866563529858j)
10,-4,(0.13285095366885197-0.03269468347500103j)
10,-3,(0.23339070262999212+0.1764638489517389j)
10,-2,(0.0690877208179531+0.012433173057051317j)
10,-1,(0.023253814114413858-0.135847879179466j)
10,0,(0.051108204486018535+0j)
10,1,(-0.02325381411441385-0.135847879179466j)
10,2,(0.0690877208179531-0.012433173057051333j)
10,3,(-0.2333907026299922+0.17646384895173886j)
10,4,(0.132850953668852+0.03269468347500103j)
10,5,(0.0037210741417574933+0.1993886656352986j)
10,6,(0.08652542970281567+0.20997306833401055j)
10,7,(-0.5736533829316555-0.20530090426008096j)
10,8,(-0.015072374414626786-0.16933207326285865j)
10,9,(0.6859799287959484+0.33291296743570314j)
10,10,(0.47921200167001315+0.873950740148557j)
11,-11,(-0.5182612015854445+1.3947074187144273j)
11,-10,(0.3700053539312569-0.840898019617377j)
11,-9,(0.5041204344770162-0.14515687774553446j)
11,-8,(-0.8260951214557256+0.24934456036305747j)
11,-7,(-0.0375209901045906+0.04897858241085916j)
11,-6,(0.5772887283216478-0.08444137901720285j)
11,-5,(-0.43092325963188105+0.05384165514783715j)
11,-4,(-0.33856476939833663-0.25825936701171975j)
11,-3,(0.008666393638540569+0.06027220544379442j)
11,-2,(0.15700123630894286+0.2690837461793818j)
11,-1,(-0.09680936723421425+0.053309273496762684j)
11,0,(-0.4067163103062979+0j)
11,1,(0.09680936723421425+0.0533092734967627j)
11,2,(0.1570012363089428-0.2690837461793818j)
11,3,(-0.00866639363854059+0.06027220544379441j)
11,4,(-0.33856476939833663+0.25825936701171975j)
11,5,(0.43092325963188105+0.05384165514783718j)
11,6,(0.5772887283216479+0.08444137901720287j)
11,7,(0.037520990104590576+0.04897858241085918j)
11,8,(-0.8260951214557256-0.24934456036305738j)
11,9,(-0.5041204344770162-0.14515687774553443j)
11,10,(0.37000535393125683+0.840898019617377j)
