l,m,alm
0,0,(-0.2667168124623895+0j)
1,-1,(0.20195970823611825-0.2569289986319061j)
1,0,(-0.5137073589263262+0j)
1,1,(-0.20195970823611825-0.2569289986319061j)
2,-2,(-0.5167322930644387-0.32074309051353517j)
2,-1,(0.14854104028967352-0.15318705914386258j)
2,0,(0.5192083443949226+0j)
2,1,(-0.1485410402896736-0.15318705914386258j)
2,2,(-0.5167322930644387+0.32074309051353517j)
3,-3,(-0.39768024102582217+0.5761824573730439j)
3,-2,(0.2077603500478933-0.05186643592417846j)
3,-1,(0.15157277528454335+0.08971542478528848j)
3,0,(-1.0735990394579784+0j)
3,1,(-0.15157277528454335+0.08971542478528843j)
3,2,(0.20776035004789328+0.05186643592417844j)
3,3,(0.39768024102582217+0.5761824573730437j)
4,-4,(-0.09775239702858698+0.40015462015388753j)
4,-3,(-0.004076091448592353-0.073371151031099j)
4,-2,(-0.0021536425406363936+0.02744456530151998j)
4,-1,(0.02976707381680737-0.07581204455686204j)
4,0,(0.10701589355925153+0j)
4,1,(-0.029767073816807373-0.07581204455686204j)
4,2,(-0.002153642540636399-0.02744456530151996j)
4,3,(0.004076091448592356-0.07337115103109904j)
4,4,(-0.09775239702858696-0.40015462015388753j)
5,-5,(0.39251484834651135+0.6395573304106331j)
5,-4,(-0.2686066693354045-0.23930187097092023j)
5,-3,(0.6050275662051877+0.13506835179551155j)
5,-2,(-0.08888361585093062+0.001609962696937116j)
5,-1,(0.020830394520713964-0.25224776837038715j)
5,0,(-0.8067999379943899+0j)
5,1,(-0.020830394520713974-0.25224776837038704j)
5,2,(-0.0888836158509306-0.001609962696937116j)
5,3,(-0.6050275662051877+0.13506835179551152j)
5,4,(-0.2686066693354046+0.23930187097092023j)
5,5,(-0.39251484834651135+0.6395573304106331j)
6,-6,(0.4302735165380544+0.16341603771230637j)
6,-5,(0.022600979788878907-0.017130643800464695j)
6,-4,(0.2591211181963695-0.040607479626569305j)
6,-3,(-0.09477283039075335+0.036011403304408364j)
6,-2,(-0.05723381086840714+0.04665041466665179j)
6,-1,(0.07350228996414579-0.024638711960798258j)
6,0,(-0.0884149606707422+0j)
6,1,(-0.07350228996414579-0.024638711960798247j)
6,2,(-0.057233810868407155-0.0466504146666518j)
6,3,(0.09477283039075331+0.036011403304408364j)
6,4,(0.2591211181963695+0.040607479626569284j)
6,5,(-0.022600979788878907-0.017130643800464695j)
6,6,(0.4302735165380544-0.16341603771230637j)
7,-7,(0.19274453543477546-0.1119829485910924j)
7,-6,(-0.20172313919822457+0.3238453081837619j)
7,-5,(0.30013078134518023-0.28923301890581005j)
7,-4,(0.17461423257603667+0.15852302505811716j)
7,-3,(-0.06015104001518887-0.2814461797029288j)
7,-2,(-0.17321483151534553-0.07301731086748839j)
7,-1,(-0.12141483399901289+0.1703274073736215j)
7,0,(-0.7969560955861337+0j)
7,1,(0.12141483399901289+0.1703274073736215j)
7,2,(-0.17321483151534553+0.07301731086748839j)
7,3,(0.06015104001518885-0.2814461797029288j)
7,4,(0.17461423257603667-0.1585230250581172j)
7,5,(-0.3001307813451802-0.28923301890581005j)
7,6,(-0.20172313919822457-0.3238453081837619j)
7,7,(-0.19274453543477546-0.1119829485910924j)
8,-8,(-0.02240173039423679+0.05047553695065627j)
8,-7,(-0.04436637045906009+0.10950385909404219j)
8,-6,(-0.12090123089170776-0.19623075298359585j)
8,-5,(-0.2491247663482983+0.051454348287773094j)
8,-4,(-0.0953686128575385-0.013403432473811469j)
8,-3,(-0.037663257759433466+0.2551788883646418j)
8,-2,(0.05123404555295317+0.016512297822129957j)
8,-1,(-0.1356674409196126-0.01863691033688337j)
8,0,(-0.022432246036805707+0j)
8,1,(0.1356674409196126-0.01863691033688336j)
8,2,(0.05123404555295317-0.016512297822129936j)
8,3,(0.03766325775943351+0.2551788883646418j)
8,4,(-0.0953686128575385+0.01340343247381149j)
8,5,(0.2491247663482983+0.05145434828777318j)
8,6,(-0.12090123089170776+0.19623075298359582j)
8,7,(0.04436637045906006+0.10950385909404219j)
8,8,(-0.02240173039423677-0.05047553695065627j)
9,-9,(-0.10365698488863703-0.03723301651016948j)
9,-8,(0.459470062566264+0.15645006864111682j)
9,-7,(-0.10340432229113956-0.27712718601939024j)
9,-6,(0.025699850824344648+0.010825981732091632j)
9,-5,(-0.23044788065033145+0.12122002453145396j)
9,-4,(-0.013172095931297308-0.26926536492706366j)
9,-3,(-0.13740068405264996+0.24090933760027314j)
9,-2,(-0.06641498541411288+0.013683438552532973j)
9,-1,(0.09532439006089735-0.13583487839161354j)
9,0,(-0.5603730139668044+0j)
9,1,(-0.09532439006089735-0.13583487839161354j)
9,2,(-0.06641498541411285-0.013683438552532963j)
9,3,(0.13740068405264996+0.24090933760027314j)
9,4,(-0.013172095931297298+0.26926536492706366j)
9,5,(0.23044788065033145+0.12122002453145393j)
9,6,(0.02569985082434467-0.010825981732091651j)
9,7,(0.10340432229113955-0.27712718601939024j)
